iter	RMSE
0	28.28952642
1	27.68063421
2	27.04043332
3	26.4025625
4	25.80189983
5	25.1794493
6	24.59096164
7	24.03864151
8	23.53487505
9	23.01670114
10	22.49867221
11	21.99958774
12	21.4989065
13	21.04011803
14	20.6181448
15	20.13263007
16	19.73829585
17	19.32734436
18	18.94823464
19	18.54883409
20	18.17610053
21	17.82802381
22	17.44416087
23	17.11126709
24	16.75506
25	16.42741647
26	16.13943229
27	15.83784893
28	15.51528504
29	15.25216631
30	14.98588462
31	14.70656087
32	14.43107795
33	14.18774819
34	13.93096521
35	13.69990155
36	13.45709791
37	13.21738648
38	12.99612146
39	12.81577424
40	12.61134842
41	12.38983888
42	12.17943986
43	11.95788117
44	11.77752139
45	11.59920669
46	11.4354243
47	11.29846564
48	11.13259923
49	10.95043227
50	10.81025753
51	10.64792785
52	10.52329805
53	10.35590267
54	10.20471854
55	10.04055947
56	9.903283028
57	9.779978786
58	9.648838483
59	9.502486484
60	9.37283453
61	9.23849825
62	9.122002196
63	9.018460227
64	8.924381509
65	8.807222258
66	8.717269078
67	8.605722944
68	8.501876316
69	8.400690089
70	8.305634144
71	8.223723952
72	8.14246512
73	8.056303745
74	7.955465565
75	7.865943095
76	7.772163545
77	7.709927214
78	7.630934866
79	7.531372385
80	7.448890419
81	7.380683424
82	7.308785192
83	7.225245922
84	7.158284278
85	7.092248617
86	7.031692327
87	6.954687376
88	6.889371648
89	6.823148879
90	6.765031855
91	6.702785963
92	6.648402411
93	6.580712501
94	6.522268971
95	6.449798666
96	6.385139152
97	6.320275981
98	6.265344468
99	6.208513526
100	6.151541085
101	6.093438286
102	6.048111131
103	6.003195495
104	5.957265114
105	5.912616331
106	5.867151813
107	5.816821819
108	5.7647995
109	5.715093265
110	5.667035167
111	5.6334181
112	5.587623606
113	5.547937527
114	5.51635533
115	5.469676739
116	5.432223212
117	5.394732094
118	5.348504368
119	5.314207453
120	5.278909193
121	5.241436314
122	5.203064828
123	5.160840034
124	5.118665609
125	5.083801215
126	5.058903438
127	5.022683379
128	4.998478701
129	4.965611856
130	4.928173884
131	4.896976436
132	4.863265892
133	4.832497104
134	4.80759879
135	4.776498792
136	4.749080193
137	4.708481208
138	4.678611931
139	4.653553203
140	4.629865266
141	4.597987932
142	4.576575316
143	4.547753191
144	4.519693198
145	4.491350845
146	4.466195756
147	4.447705538
148	4.409732084
149	4.392105172
150	4.369756089
151	4.341565571
152	4.324523378
153	4.290383561
154	4.257504192
155	4.231615686
156	4.208557472
157	4.184453076
158	4.157271812
159	4.135980156
160	4.103437709
161	4.073263226
162	4.050432174
163	4.023181198
164	4.003015901
165	3.989244167
166	3.963140606
167	3.942668876
168	3.914697078
169	3.887087471
170	3.867648547
171	3.843856935
172	3.822587686
173	3.800295648
174	3.788143085
175	3.769993239
176	3.752081026
177	3.727810418
178	3.703291539
179	3.682907815
180	3.660520238
181	3.642539457
182	3.62627664
183	3.609350828
184	3.592886667
185	3.577027681
186	3.558606673
187	3.538936265
188	3.524482391
189	3.500760689
190	3.477020077
191	3.465878612
192	3.446934202
193	3.429764814
194	3.408638789
195	3.390157117
196	3.364011885
197	3.353595003
198	3.335925392
199	3.322399397
200	3.307388348
201	3.285661707
202	3.272024699
203	3.264111522
204	3.24666668
205	3.228844434
206	3.213340586
207	3.189092684
208	3.183343869
209	3.165328975
210	3.157432138
211	3.13946644
212	3.118822092
213	3.111926214
214	3.09757652
215	3.074927326
216	3.052031744
217	3.038995834
218	3.029752231
219	3.018625543
220	3.001340035
221	2.976909051
222	2.967095787
223	2.947995978
224	2.933102627
225	2.915863066
226	2.908629124
227	2.896285247
228	2.890337844
229	2.876889294
230	2.861145592
231	2.846443862
232	2.834471954
233	2.817010525
234	2.806530002
235	2.798995048
236	2.780526598
237	2.770729635
238	2.757662559
239	2.746738961
240	2.726881295
241	2.715552842
242	2.708785761
243	2.6897729
244	2.684032282
245	2.667984467
246	2.653822454
247	2.648952214
248	2.633751162
249	2.622624736
250	2.60965836
251	2.604629959
252	2.592184003
253	2.584273069
254	2.569777721
255	2.55887937
256	2.551104054
257	2.545603262
258	2.529371396
259	2.514649701
260	2.506213876
261	2.495463367
262	2.480295113
263	2.46917166
264	2.465498163
265	2.462473265
