iter	Passed	Remaining
0	10	10371
1	17	8905
2	26	8942
3	35	8884
4	44	8897
5	51	8556
6	60	8615
7	67	8418
8	76	8436
9	83	8236
10	93	8438
11	104	8579
12	111	8465
13	119	8446
14	127	8371
15	136	8386
16	145	8425
17	154	8426
18	161	8364
19	170	8334
20	177	8285
21	184	8218
22	192	8159
23	198	8078
24	207	8093
25	214	8043
26	222	8016
27	228	7946
28	236	7922
29	243	7863
30	250	7838
31	257	7789
32	264	7737
33	271	7713
34	278	7666
35	286	7662
36	293	7636
37	302	7657
38	308	7601
39	316	7593
40	322	7551
41	330	7541
42	336	7497
43	343	7463
44	350	7446
45	356	7402
46	364	7391
47	371	7368
48	378	7351
49	386	7341
50	395	7360
51	401	7325
52	408	7303
53	416	7288
54	422	7257
55	429	7244
56	436	7215
57	443	7200
58	449	7172
59	455	7142
60	463	7134
61	470	7111
62	477	7107
63	484	7086
64	491	7073
65	498	7056
66	505	7035
67	512	7028
68	518	7002
69	526	7000
70	533	6980
71	541	6975
72	547	6949
73	555	6946
74	561	6929
75	568	6907
76	575	6903
77	584	6904
78	592	6906
79	599	6889
80	608	6898
81	614	6881
82	623	6891
83	630	6879
84	638	6874
85	645	6859
86	653	6854
87	660	6841
88	668	6845
89	676	6836
90	683	6827
91	690	6816
92	697	6805
93	706	6810
94	713	6794
95	723	6810
96	730	6799
97	740	6813
98	749	6823
99	757	6818
100	766	6820
101	772	6805
102	780	6800
103	787	6788
104	794	6774
105	803	6776
106	810	6762
107	819	6767
108	825	6750
109	834	6755
110	840	6734
111	849	6737
112	856	6724
113	864	6716
114	870	6698
115	877	6685
116	884	6677
117	890	6657
118	899	6659
119	906	6647
120	915	6654
121	922	6638
122	931	6640
123	937	6625
124	945	6621
125	952	6608
126	960	6603
127	967	6589
128	974	6582
129	982	6577
130	990	6572
131	997	6560
132	1005	6554
133	1013	6547
134	1019	6534
135	1027	6526
136	1033	6510
137	1041	6503
138	1047	6489
139	1055	6481
140	1061	6465
141	1073	6483
142	1081	6480
143	1087	6463
144	1095	6457
145	1102	6448
146	1109	6439
147	1115	6424
148	1122	6410
149	1130	6403
150	1136	6388
151	1144	6383
152	1150	6369
153	1158	6366
154	1165	6351
155	1172	6342
156	1180	6336
157	1186	6321
158	1204	6369
159	1212	6365
160	1219	6353
161	1227	6347
162	1233	6334
163	1242	6331
164	1251	6332
165	1266	6365
166	1275	6360
167	1282	6350
168	1290	6347
169	1297	6334
170	1306	6334
171	1312	6320
172	1321	6318
173	1327	6303
174	1335	6296
175	1342	6287
176	1350	6279
177	1358	6273
178	1364	6260
179	1373	6255
180	1379	6242
181	1387	6237
182	1394	6226
183	1403	6225
184	1412	6220
185	1421	6221
186	1427	6206
187	1436	6204
188	1443	6192
189	1451	6188
190	1458	6176
191	1467	6174
192	1474	6164
193	1482	6157
194	1490	6152
195	1498	6146
196	1506	6142
197	1517	6144
198	1527	6147
199	1536	6145
200	1543	6137
201	1552	6132
202	1558	6119
203	1568	6119
204	1575	6109
205	1584	6106
206	1590	6093
207	1599	6089
208	1605	6077
209	1615	6076
210	1622	6066
211	1630	6061
212	1637	6051
213	1645	6045
214	1652	6034
215	1660	6025
216	1666	6014
217	1673	6001
218	1682	5998
219	1689	5988
220	1698	5986
221	1705	5976
222	1726	6014
223	1733	6003
224	1741	5997
225	1749	5992
226	1758	5988
227	1766	5980
228	1775	5977
229	1782	5967
230	1790	5961
231	1798	5952
232	1808	5952
233	1814	5940
234	1822	5934
235	1830	5925
236	1838	5919
237	1845	5908
238	1853	5901
239	1860	5891
240	1867	5881
241	1875	5874
242	1881	5862
243	1890	5855
244	1896	5844
245	1904	5838
246	1911	5828
247	1919	5821
248	1926	5811
249	1935	5805
250	1941	5793
251	1949	5787
252	1956	5776
253	1962	5764
254	1970	5756
255	1977	5746
256	1985	5738
257	1991	5727
258	1999	5719
259	2005	5708
260	2014	5703
261	2020	5691
262	2026	5680
263	2035	5673
264	2041	5662
265	2049	5655
266	2056	5646
267	2064	5639
268	2071	5629
269	2078	5620
270	2085	5610
271	2091	5598
272	2098	5589
273	2105	5578
274	2112	5570
275	2119	5559
276	2126	5549
277	2132	5538
278	2139	5528
279	2146	5519
280	2152	5508
281	2160	5500
282	2166	5490
283	2173	5478
284	2180	5469
285	2186	5458
286	2195	5454
287	2201	5442
288	2209	5435
289	2215	5424
290	2223	5416
291	2230	5407
292	2236	5396
293	2244	5388
294	2250	5377
295	2257	5369
296	2264	5359
297	2272	5352
298	2279	5343
299	2285	5332
300	2292	5323
301	2298	5313
302	2306	5305
303	2312	5294
304	2319	5286
305	2326	5276
306	2333	5266
307	2340	5257
308	2346	5246
309	2353	5239
310	2359	5228
311	2366	5219
312	2374	5211
313	2380	5200
314	2389	5195
315	2396	5187
316	2404	5181
317	2410	5170
318	2419	5164
319	2425	5154
320	2433	5146
321	2439	5137
322	2446	5127
323	2454	5121
324	2460	5110
325	2468	5104
326	2475	5094
327	2482	5087
328	2490	5078
329	2497	5070
330	2505	5063
331	2513	5057
332	2521	5049
333	2529	5043
334	2550	5063
335	2558	5055
336	2566	5049
337	2573	5039
338	2581	5033
339	2587	5023
340	2596	5017
341	2603	5008
342	2612	5004
343	2618	4994
344	2626	4986
345	2634	4978
346	2640	4969
347	2648	4962
348	2654	4952
349	2662	4945
350	2669	4935
351	2677	4929
352	2685	4921
353	2692	4914
354	2700	4906
355	2709	4901
356	2716	4892
357	2724	4885
358	2731	4877
359	2740	4871
360	2747	4863
361	2754	4854
362	2761	4846
363	2767	4836
364	2775	4828
365	2783	4821
366	2791	4815
367	2802	4812
368	2812	4808
369	2820	4801
370	2828	4794
371	2836	4788
372	2844	4782
373	2853	4776
374	2860	4767
375	2868	4760
376	2876	4753
377	2884	4747
378	2891	4738
379	2901	4733
380	2909	4726
381	2919	4722
382	2926	4714
383	2935	4709
384	2946	4707
385	2959	4706
386	2967	4699
387	2975	4692
388	2982	4685
389	2990	4676
390	2997	4668
391	3004	4660
392	3010	4650
393	3018	4642
394	3025	4633
395	3033	4626
396	3040	4617
397	3047	4609
398	3057	4605
399	3066	4599
400	3075	4593
401	3084	4587
402	3091	4579
403	3099	4573
404	3106	4563
405	3114	4556
406	3120	4546
407	3128	4538
408	3134	4529
409	3141	4521
410	3148	4512
411	3155	4503
412	3162	4495
413	3169	4486
414	3177	4478
415	3183	4469
416	3189	4458
417	3196	4450
418	3202	4440
419	3210	4433
420	3216	4423
421	3223	4415
422	3230	4406
423	3236	4396
424	3244	4389
425	3250	4380
426	3258	4372
427	3264	4363
428	3271	4354
429	3278	4346
430	3285	4337
431	3293	4329
432	3299	4320
