"Date","Price","Open","High","Low","Change %"
"May 22","1.1082","1.0915","1.1121","1.0912","1.36%"
"Apr 22","1.0933","1.0788","1.1002","1.0776","1.42%"
"Mar 22","1.0780","1.0740","1.0889","1.0603","0.39%"
"Feb 22","1.0738","1.0749","1.0800","1.0653","-0.01%"
"Jan 22","1.0739","1.0638","1.0755","1.0558","1.00%"
"Dec 21","1.0633","1.0444","1.0648","1.0338","1.87%"
"Nov 21","1.0438","1.0507","1.0515","1.0308","-0.51%"
"Oct 21","1.0492","1.0473","1.0618","1.0414","0.20%"
"Sep 21","1.0471","1.0385","1.0492","1.0276","0.89%"
"Aug 21","1.0379","1.0506","1.0575","1.0364","-1.39%"
"Jul 21","1.0525","1.0738","1.0747","1.0515","-1.98%"
"Jun 21","1.0738","1.0637","1.0826","1.0622","1.01%"
"May 21","1.0631","1.0750","1.0825","1.0597","-1.30%"
"Apr 21","1.0771","1.0876","1.0887","1.0703","-0.93%"
"Mar 21","1.0872","1.0660","1.0950","1.0611","2.13%"
"Feb 21","1.0645","1.0655","1.0831","1.0538","0.21%"
"Jan 21","1.0623","1.0704","1.0847","1.0622","-0.77%"
"Dec 20","1.0705","1.0466","1.0730","1.0411","2.38%"
"Nov 20","1.0456","1.0558","1.0767","1.0456","-1.48%"
"Oct 20","1.0613","1.0828","1.0905","1.0591","-1.96%"
"Sep 20","1.0825","1.0955","1.0971","1.0695","-1.13%"
"Aug 20","1.0949","1.0761","1.1048","1.0713","1.65%"
"Jul 20","1.0771","1.0696","1.0804","1.0551","0.75%"
"Jun 20","1.0691","1.0740","1.0884","1.0572","-0.48%"
"May 20","1.0743","1.0628","1.0855","1.0568","1.13%"
"Apr 20","1.0623","1.0296","1.0761","1.0195","3.19%"
"Mar 20","1.0295","1.0397","1.0536","0.9983","-1.07%"
"Feb 20","1.0406","1.0343","1.0509","1.0319","0.54%"
"Jan 20","1.0350","1.0422","1.0462","1.0290","-0.64%"
"Dec 19","1.0417","1.0524","1.0541","1.0366","-1.06%"
"Nov 19","1.0529","1.0750","1.0874","1.0517","-2.01%"
"Oct 19","1.0745","1.0778","1.0828","1.0660","-0.21%"
"Sep 19","1.0768","1.0677","1.0843","1.0626","0.87%"
"Aug 19","1.0675","1.0436","1.0698","1.0262","2.32%"
"Jul 19","1.0433","1.0448","1.0547","1.0380","-0.11%"
"Jun 19","1.0445","1.0606","1.0631","1.0433","-1.57%"
"May 19","1.0612","1.0562","1.0728","1.0518","0.52%"
"Apr 19","1.0557","1.0451","1.0739","1.0414","1.29%"
"Mar 19","1.0423","1.0421","1.0458","1.0273","0.06%"
"Feb 19","1.0417","1.0515","1.0549","1.0360","-0.93%"
"Jan 19","1.0515","1.0489","1.0675","1.0254","0.26%"
"Dec 18","1.0488","1.0671","1.0686","1.0417","-1.27%"
"Nov 18","1.0623","1.0853","1.0883","1.0586","-2.09%"
"Oct 18","1.0850","1.0926","1.0999","1.0716","-0.61%"
"Sep 18","1.0917","1.0869","1.1025","1.0843","0.61%"
"Aug 18","1.0851","1.0898","1.1180","1.0854","-0.35%"
"Jul 18","1.0889","1.0913","1.0998","1.0838","-0.44%"
"Jun 18","1.0937","1.0813","1.0946","1.0655","1.20%"
"May 18","1.0807","1.0704","1.0965","1.0655","1.00%"
"Apr 18","1.0700","1.0610","1.0733","1.0486","0.87%"
"Mar 18","1.0608","1.0762","1.0804","1.0557","-1.39%"
"Feb 18","1.0758","1.0939","1.0952","1.0651","-1.60%"
"Jan 18","1.0933","1.1009","1.1077","1.0826","-0.66%"
"Dec 17","1.1006","1.1078","1.1118","1.0857","-0.59%"
"Nov 17","1.1071","1.1183","1.1195","1.0946","-0.95%"
"Oct 17","1.1177","1.0874","1.1294","1.0835","2.86%"
"Sep 17","1.0866","1.1069","1.1148","1.0778","-1.79%"
"Aug 17","1.1064","1.0649","1.1084","1.0644","3.94%"
"Jul 17","1.0645","1.0481","1.0849","1.0393","1.58%"
"Jun 17","1.0479","1.0487","1.0555","1.0365","-0.05%"
"May 17","1.0484","1.0868","1.0941","1.0461","-3.76%"
"Apr 17","1.0894","1.0881","1.0927","1.0641","0.10%"
"Mar 17","1.0883","1.0647","1.1025","1.0634","2.25%"
"Feb 17","1.0644","1.0375","1.0754","1.0366","2.70%"
"Jan 17","1.0364","1.0377","1.0579","1.0320","-0.13%"
"Dec 16","1.0377","1.0426","1.0526","1.0348","-0.40%"
"Nov 16","1.0419","1.0643","1.0708","1.0361","-2.04%"
"Oct 16","1.0636","1.0508","1.0771","1.0500","1.33%"
"Sep 16","1.0496","1.0369","1.0589","1.0227","1.30%"
"Aug 16","1.0361","1.0551","1.0749","1.0344","-1.59%"
"Jul 16","1.0528","1.0443","1.0776","1.0309","0.88%"
"Jun 16","1.0436","1.0698","1.0744","1.0361","-2.27%"
"May 16","1.0678","1.0886","1.0956","1.0616","-2.00%"
"Apr 16","1.0896","1.1083","1.1279","1.0874","-1.55%"
"Mar 16","1.1067","1.0836","1.1341","1.0761","2.22%"
