"Date","Price","Open","High","Low","Change %"
"May 22","0.7261","0.7064","0.7264","0.7031","2.81%"
"Apr 22","0.7063","0.7482","0.7661","0.7055","-5.57%"
"Mar 22","0.7480","0.7261","0.7541","0.7164","3.00%"
"Feb 22","0.7262","0.7069","0.7286","0.7032","2.80%"
"Jan 22","0.7064","0.7262","0.7315","0.6967","-2.70%"
"Dec 21","0.7260","0.7126","0.7278","0.6992","1.92%"
"Nov 21","0.7123","0.7509","0.7538","0.7063","-5.29%"
"Oct 21","0.7521","0.7225","0.7556","0.7192","4.08%"
"Sep 21","0.7226","0.7316","0.7479","0.7169","-1.22%"
"Aug 21","0.7315","0.7341","0.7427","0.7106","-0.39%"
"Jul 21","0.7344","0.7498","0.7600","0.7289","-2.05%"
"Jun 21","0.7498","0.7735","0.7776","0.7476","-3.05%"
"May 21","0.7734","0.7717","0.7892","0.7675","0.23%"
"Apr 21","0.7716","0.7597","0.7818","0.7531","1.58%"
"Mar 21","0.7596","0.7713","0.7850","0.7563","-1.41%"
"Feb 21","0.7705","0.7640","0.8008","0.7563","0.82%"
"Jan 21","0.7642","0.7695","0.7821","0.7592","-0.68%"
"Dec 20","0.7694","0.7345","0.7743","0.7340","4.75%"
"Nov 20","0.7345","0.7034","0.7408","0.6991","4.54%"
"Oct 20","0.7026","0.7163","0.7244","0.7002","-1.89%"
"Sep 20","0.7161","0.7377","0.7415","0.7006","-2.90%"
"Aug 20","0.7375","0.7146","0.7404","0.7075","3.26%"
"Jul 20","0.7142","0.6903","0.7229","0.6877","3.48%"
"Jun 20","0.6902","0.6657","0.7063","0.6646","3.54%"
"May 20","0.6666","0.6511","0.6684","0.6371","2.40%"
"Apr 20","0.6510","0.6133","0.6571","0.5979","6.11%"
"Mar 20","0.6135","0.6488","0.6686","0.5507","-5.75%"
"Feb 20","0.6509","0.6690","0.6776","0.6434","-2.72%"
"Jan 20","0.6691","0.7021","0.7031","0.6682","-4.70%"
"Dec 19","0.7021","0.6761","0.7033","0.6755","3.80%"
"Nov 19","0.6764","0.6894","0.6930","0.6753","-1.87%"
"Oct 19","0.6893","0.6750","0.6931","0.6670","2.13%"
"Sep 19","0.6749","0.6722","0.6895","0.6687","0.19%"
"Aug 19","0.6736","0.6845","0.6870","0.6676","-1.58%"
"Jul 19","0.6844","0.7024","0.7084","0.6831","-2.51%"
"Jun 19","0.7020","0.6934","0.7024","0.6830","1.18%"
"May 19","0.6938","0.7049","0.7063","0.6863","-1.56%"
"Apr 19","0.7048","0.7116","0.7207","0.6987","-0.65%"
"Mar 19","0.7094","0.7094","0.7169","0.7002","0.00%"
"Feb 19","0.7094","0.7276","0.7286","0.7053","-2.45%"
"Jan 19","0.7272","0.7048","0.7297","0.6743","3.16%"
"Dec 18","0.7049","0.7368","0.7394","0.7016","-3.64%"
"Nov 18","0.7315","0.7073","0.7346","0.7071","3.42%"
"Oct 18","0.7073","0.7232","0.7239","0.7020","-2.14%"
"Sep 18","0.7228","0.7197","0.7315","0.7084","0.53%"
"Aug 18","0.7190","0.7427","0.7455","0.7175","-3.18%"
"Jul 18","0.7426","0.7395","0.7485","0.7310","0.32%"
"Jun 18","0.7402","0.7569","0.7678","0.7324","-2.18%"
"May 18","0.7567","0.7531","0.7606","0.7412","0.48%"
"Apr 18","0.7531","0.7689","0.7814","0.7524","-1.91%"
"Mar 18","0.7678","0.7762","0.7918","0.7642","-1.07%"
"Feb 18","0.7761","0.8056","0.8069","0.7758","-3.64%"
"Jan 18","0.8054","0.7802","0.8137","0.7794","3.24%"
"Dec 17","0.7801","0.7567","0.7826","0.7500","3.11%"
"Nov 17","0.7566","0.7657","0.7731","0.7531","-1.16%"
"Oct 17","0.7655","0.7841","0.7898","0.7624","-2.27%"
"Sep 17","0.7833","0.7947","0.8126","0.7799","-1.42%"
"Aug 17","0.7946","0.8003","0.8044","0.7807","-0.70%"
"Jul 17","0.8002","0.7682","0.8067","0.7570","4.11%"
"Jun 17","0.7686","0.7429","0.7714","0.7370","3.46%"
"May 17","0.7429","0.7460","0.7558","0.7328","-0.73%"
"Apr 17","0.7484","0.7620","0.7643","0.7439","-1.89%"
"Mar 17","0.7628","0.7657","0.7752","0.7490","-0.38%"
"Feb 17","0.7657","0.7586","0.7743","0.7549","0.98%"
"Jan 17","0.7583","0.7229","0.7611","0.7163","5.10%"
"Dec 16","0.7215","0.7385","0.7527","0.7157","-2.26%"
"Nov 16","0.7382","0.7610","0.7781","0.7308","-2.98%"
"Oct 16","0.7609","0.7658","0.7736","0.7506","-0.59%"
"Sep 16","0.7654","0.7516","0.7735","0.7441","1.86%"
"Aug 16","0.7514","0.7593","0.7758","0.7490","-1.07%"
"Jul 16","0.7595","0.7449","0.7676","0.7406","1.95%"
"Jun 16","0.7450","0.7236","0.7650","0.7201","3.06%"
"May 16","0.7229","0.7606","0.7721","0.7144","-4.91%"
"Apr 16","0.7602","0.7658","0.7837","0.7491","-0.68%"
"Mar 16","0.7654","0.7141","0.7724","0.7107","7.23%"
"Feb 16","0.7138","0.7088","0.7261","0.6973","0.79%"
"Jan 16","0.7082","0.7283","0.7304","0.6826","-2.65%"
"Dec 15","0.7275","0.7228","0.7387","0.7095","0.68%"
"Nov 15","0.7226","0.7121","0.7286","0.7014","1.25%"
"Oct 15","0.7137","0.7021","0.7384","0.6996","1.71%"
"Sep 15","0.7017","0.7113","0.7283","0.6895","-1.31%"
"Aug 15","0.7110","0.7308","0.7441","0.7054","-2.63%"
"Jul 15","0.7302","0.7707","0.7740","0.7234","-5.22%"
"Jun 15","0.7704","0.7644","0.7850","0.7587","0.89%"
"May 15","0.7636","0.7905","0.8163","0.7617","-3.31%"
"Apr 15","0.7897","0.7606","0.8077","0.7532","3.84%"
"Mar 15","0.7605","0.7839","0.7940","0.7559","-2.61%"
"Feb 15","0.7809","0.7735","0.7915","0.7625","0.55%"
"Jan 15","0.7766","0.8163","0.8297","0.7719","-4.92%"
"Dec 14","0.8168","0.8497","0.8544","0.8087","-4.01%"
"Nov 14","0.8509","0.8748","0.8795","0.8479","-3.24%"
"Oct 14","0.8794","0.8746","0.8913","0.8642","0.56%"
"Sep 14","0.8745","0.9329","0.9402","0.8684","-6.30%"
"Aug 14","0.9333","0.9295","0.9376","0.9238","0.41%"
"Jul 14","0.9295","0.9434","0.9507","0.9278","-1.43%"
"Jun 14","0.9430","0.9315","0.9448","0.9231","1.30%"
"May 14","0.9309","0.9287","0.9411","0.9202","0.28%"
"Apr 14","0.9283","0.9264","0.9463","0.9205","0.23%"
