Market Year, Value, Unit Description
"1960","521","(1000 MT CWE)"
"1961","446","(1000 MT CWE)"
"1962","502","(1000 MT CWE)"
"1963","526","(1000 MT CWE)"
"1964","553","(1000 MT CWE)"
"1965","522","(1000 MT CWE)"
"1966","519","(1000 MT CWE)"
"1967","520","(1000 MT CWE)"
"1968","517","(1000 MT CWE)"
"1969","523","(1000 MT CWE)"
"1970","500","(1000 MT CWE)"
"1971","524","(1000 MT CWE)"
"1972","538","(1000 MT CWE)"
"1973","587","(1000 MT CWE)"
"1974","753","(1000 MT CWE)"
"1975","926","(1000 MT CWE)"
"1976","974","(1000 MT CWE)"
"1977","997","(1000 MT CWE)"
"1978","933","(1000 MT CWE)"
"1979","711","(1000 MT CWE)"
"1980","659","(1000 MT CWE)"
"1981","712","(1000 MT CWE)"
"1982","745","(1000 MT CWE)"
"1983","650","(1000 MT CWE)"
"1984","625","(1000 MT CWE)"
"1985","639","(1000 MT CWE)"
"1986","665","(1000 MT CWE)"
"1987","639","(1000 MT CWE)"
"1988","662","(1000 MT CWE)"
"1989","700","(1000 MT CWE)"
"1990","651","(1000 MT CWE)"
"1991","654","(1000 MT CWE)"
"1992","646","(1000 MT CWE)"
"1993","634","(1000 MT CWE)"
"1994","697","(1000 MT CWE)"
"1995","639","(1000 MT CWE)"
"1996","705","(1000 MT CWE)"
"1997","774","(1000 MT CWE)"
"1998","733","(1000 MT CWE)"
"1999","742","(1000 MT CWE)"
"2000","731","(1000 MT CWE)"
"2001","705","(1000 MT CWE)"
"2002","719","(1000 MT CWE)"
"2003","733","(1000 MT CWE)"
"2004","803","(1000 MT CWE)"
"2005","801","(1000 MT CWE)"
"2006","806","(1000 MT CWE)"
"2007","772","(1000 MT CWE)"
"2008","772","(1000 MT CWE)"
"2009","774","(1000 MT CWE)"
"2010","858","(1000 MT CWE)"
"2011","795","(1000 MT CWE)"
"2012","806","(1000 MT CWE)"
"2013","881","(1000 MT CWE)"
"2014","881","(1000 MT CWE)"
"2015","821","(1000 MT CWE)"
"2016","754","(1000 MT CWE)"
"2017","748","(1000 MT CWE)"
"2018","741","(1000 MT CWE)"
"2019","708","(1000 MT CWE)"
"2020","669","(1000 MT CWE)"
"2021","605","(1000 MT CWE)"
"2022","665","(1000 MT CWE)"
