Market Year, Value, Unit Description
"1960","701","(1000 MT CWE)"
"1961","745","(1000 MT CWE)"
"1962","903","(1000 MT CWE)"
"1963","976","(1000 MT CWE)"
"1964","1022","(1000 MT CWE)"
"1965","991","(1000 MT CWE)"
"1966","968","(1000 MT CWE)"
"1967","917","(1000 MT CWE)"
"1968","925","(1000 MT CWE)"
"1969","1010","(1000 MT CWE)"
"1970","1039","(1000 MT CWE)"
"1971","1133","(1000 MT CWE)"
"1972","1364","(1000 MT CWE)"
"1973","1560","(1000 MT CWE)"
"1974","1332","(1000 MT CWE)"
"1975","1752","(1000 MT CWE)"
"1976","1948","(1000 MT CWE)"
"1977","2227","(1000 MT CWE)"
"1978","2223","(1000 MT CWE)"
"1979","1861","(1000 MT CWE)"
"1980","1588","(1000 MT CWE)"
"1981","1467","(1000 MT CWE)"
"1982","1720","(1000 MT CWE)"
"1983","1445","(1000 MT CWE)"
"1984","1276","(1000 MT CWE)"
"1985","1373","(1000 MT CWE)"
"1986","1522","(1000 MT CWE)"
"1987","1599","(1000 MT CWE)"
"1988","1585","(1000 MT CWE)"
"1989","1598","(1000 MT CWE)"
"1990","1744","(1000 MT CWE)"
"1991","1764","(1000 MT CWE)"
"1992","1873","(1000 MT CWE)"
"1993","1847","(1000 MT CWE)"
"1994","1881","(1000 MT CWE)"
"1995","1770","(1000 MT CWE)"
"1996","1765","(1000 MT CWE)"
"1997","1982","(1000 MT CWE)"
"1998","2037","(1000 MT CWE)"
"1999","2017","(1000 MT CWE)"
"2000","2083","(1000 MT CWE)"
"2001","2119","(1000 MT CWE)"
"2002","2132","(1000 MT CWE)"
"2003","2074","(1000 MT CWE)"
"2004","2222","(1000 MT CWE)"
"2005","2152","(1000 MT CWE)"
"2006","2214","(1000 MT CWE)"
"2007","2208","(1000 MT CWE)"
"2008","2238","(1000 MT CWE)"
"2009","2230","(1000 MT CWE)"
"2010","2283","(1000 MT CWE)"
"2011","2255","(1000 MT CWE)"
"2012","2273","(1000 MT CWE)"
"2013","2490","(1000 MT CWE)"
"2014","2698","(1000 MT CWE)"
"2015","2617","(1000 MT CWE)"
"2016","2166","(1000 MT CWE)"
"2017","2164","(1000 MT CWE)"
"2018","2323","(1000 MT CWE)"
"2019","2447","(1000 MT CWE)"
"2020","2142","(1000 MT CWE)"
"2021","1925","(1000 MT CWE)"
"2022","2135","(1000 MT CWE)"
