Market Year, Value, Unit Description
"1965","45","(1000 MT)"
"1966","56","(1000 MT)"
"1967","76","(1000 MT)"
"1968","89","(1000 MT)"
"1969","94","(1000 MT)"
"1970","105","(1000 MT)"
"1971","131","(1000 MT)"
"1972","142","(1000 MT)"
"1973","138","(1000 MT)"
"1974","171","(1000 MT)"
"1975","166","(1000 MT)"
"1976","184","(1000 MT)"
"1977","196","(1000 MT)"
"1978","220","(1000 MT)"
"1979","244","(1000 MT)"
"1980","282","(1000 MT)"
"1981","276","(1000 MT)"
"1982","259","(1000 MT)"
"1983","283","(1000 MT)"
"1984","272","(1000 MT)"
"1985","315","(1000 MT)"
"1986","334","(1000 MT)"
"1987","349","(1000 MT)"
"1988","360","(1000 MT)"
"1989","365","(1000 MT)"
"1990","377","(1000 MT)"
"1991","383","(1000 MT)"
"1992","410","(1000 MT)"
"1993","420","(1000 MT)"
"1994","448","(1000 MT)"
"1995","450","(1000 MT)"
"1996","453","(1000 MT)"
"1997","480","(1000 MT)"
"1998","527","(1000 MT)"
"1999","550","(1000 MT)"
"2000","586","(1000 MT)"
"2001","596","(1000 MT)"
"2002","665","(1000 MT)"
"2003","647","(1000 MT)"
"2004","686","(1000 MT)"
"2005","717","(1000 MT)"
"2006","758","(1000 MT)"
"2007","772","(1000 MT)"
"2008","765","(1000 MT)"
"2009","787","(1000 MT)"
"2010","888","(1000 MT)"
"2011","962","(1000 MT)"
"2012","994","(1000 MT)"
"2013","1013","(1000 MT)"
"2014","1048","(1000 MT)"
"2015","1080","(1000 MT)"
"2016","1164","(1000 MT)"
