Market Year, Value, Unit Description
"1960","0","(1000 HEAD)"
"1961","0","(1000 HEAD)"
"1962","0","(1000 HEAD)"
"1963","0","(1000 HEAD)"
"1964","0","(1000 HEAD)"
"1965","0","(1000 HEAD)"
"1966","0","(1000 HEAD)"
"1967","7086","(1000 HEAD)"
"1968","7418","(1000 HEAD)"
"1969","7957","(1000 HEAD)"
"1970","8539","(1000 HEAD)"
"1971","9660","(1000 HEAD)"
"1972","9931","(1000 HEAD)"
"1973","11019","(1000 HEAD)"
"1974","9833","(1000 HEAD)"
"1975","11111","(1000 HEAD)"
"1976","10605","(1000 HEAD)"
"1977","11754","(1000 HEAD)"
"1978","10949","(1000 HEAD)"
"1979","9970","(1000 HEAD)"
"1980","8932","(1000 HEAD)"
"1981","8508","(1000 HEAD)"
"1982","8428","(1000 HEAD)"
"1983","8393","(1000 HEAD)"
"1984","7885","(1000 HEAD)"
"1985","8194","(1000 HEAD)"
"1986","8707","(1000 HEAD)"
"1987","8816","(1000 HEAD)"
"1988","8880","(1000 HEAD)"
"1989","8672","(1000 HEAD)"
"1990","9058","(1000 HEAD)"
"1991","9363","(1000 HEAD)"
"1992","9368","(1000 HEAD)"
"1993","9926","(1000 HEAD)"
"1994","9694","(1000 HEAD)"
"1995","9300","(1000 HEAD)"
"1996","9917","(1000 HEAD)"
"1997","10100","(1000 HEAD)"
"1998","9970","(1000 HEAD)"
"1999","10553","(1000 HEAD)"
"2000","9720","(1000 HEAD)"
"2001","9658","(1000 HEAD)"
"2002","10072","(1000 HEAD)"
"2003","8524","(1000 HEAD)"
"2004","10292","(1000 HEAD)"
"2005","9808","(1000 HEAD)"
"2006","9748","(1000 HEAD)"
"2007","9313","(1000 HEAD)"
"2008","8956","(1000 HEAD)"
"2009","10025","(1000 HEAD)"
"2010","8842","(1000 HEAD)"
"2011","9614","(1000 HEAD)"
"2012","8539","(1000 HEAD)"
"2013","10783","(1000 HEAD)"
"2014","11063","(1000 HEAD)"
"2015","9394","(1000 HEAD)"
"2016","6600","(1000 HEAD)"
"2017","9700","(1000 HEAD)"
"2018","9100","(1000 HEAD)"
"2019","8700","(1000 HEAD)"
"2020","8300","(1000 HEAD)"
"2021","8200","(1000 HEAD)"
"2022","8800","(1000 HEAD)"
