Market Year, Value, Unit Description
"1960","8","1000 480 lb. Bales"
"1961","8","1000 480 lb. Bales"
"1962","10","1000 480 lb. Bales"
"1963","16","1000 480 lb. Bales"
"1964","45","1000 480 lb. Bales"
"1965","91","1000 480 lb. Bales"
"1966","85","1000 480 lb. Bales"
"1967","150","1000 480 lb. Bales"
"1968","153","1000 480 lb. Bales"
"1969","127","1000 480 lb. Bales"
"1970","90","1000 480 lb. Bales"
"1971","200","1000 480 lb. Bales"
"1972","146","1000 480 lb. Bales"
"1973","140","1000 480 lb. Bales"
"1974","153","1000 480 lb. Bales"
"1975","115","1000 480 lb. Bales"
"1976","128","1000 480 lb. Bales"
"1977","204","1000 480 lb. Bales"
"1978","244","1000 480 lb. Bales"
"1979","382","1000 480 lb. Bales"
"1980","455","1000 480 lb. Bales"
"1981","615","1000 480 lb. Bales"
"1982","464","1000 480 lb. Bales"
"1983","648","1000 480 lb. Bales"
"1984","1144","1000 480 lb. Bales"
"1985","1185","1000 480 lb. Bales"
"1986","983","1000 480 lb. Bales"
"1987","1275","1000 480 lb. Bales"
"1988","1226","1000 480 lb. Bales"
"1989","1401","1000 480 lb. Bales"
"1990","1989","1000 480 lb. Bales"
"1991","2306","1000 480 lb. Bales"
"1992","1713","1000 480 lb. Bales"
"1993","1511","1000 480 lb. Bales"
"1994","1539","1000 480 lb. Bales"
"1995","1970","1000 480 lb. Bales"
"1996","2792","1000 480 lb. Bales"
"1997","3166","1000 480 lb. Bales"
"1998","3327","1000 480 lb. Bales"
"1999","3458","1000 480 lb. Bales"
"2000","3700","1000 480 lb. Bales"
"2001","3200","1000 480 lb. Bales"
"2002","1700","1000 480 lb. Bales"
"2003","1600","1000 480 lb. Bales"
"2004","3000","1000 480 lb. Bales"
"2005","2750","1000 480 lb. Bales"
"2006","1350","1000 480 lb. Bales"
"2007","625","1000 480 lb. Bales"
"2008","1525","1000 480 lb. Bales"
"2009","1775","1000 480 lb. Bales"
"2010","4200","1000 480 lb. Bales"
"2011","5500","1000 480 lb. Bales"
"2012","4600","1000 480 lb. Bales"
"2013","4100","1000 480 lb. Bales"
"2014","2300","1000 480 lb. Bales"
"2015","2850","1000 480 lb. Bales"
"2016","4050","1000 480 lb. Bales"
"2017","4800","1000 480 lb. Bales"
"2018","2200","1000 480 lb. Bales"
"2019","625","1000 480 lb. Bales"
"2020","2800","1000 480 lb. Bales"
"2021","5500","1000 480 lb. Bales"
