Market Year, Value, Unit Description
"1960","22","(1000 MT)"
"1961","37","(1000 MT)"
"1962","38","(1000 MT)"
"1963","26","(1000 MT)"
"1964","24","(1000 MT)"
"1965","22","(1000 MT)"
"1966","32","(1000 MT)"
"1967","21","(1000 MT)"
"1968","26","(1000 MT)"
"1969","20","(1000 MT)"
"1970","29","(1000 MT)"
"1971","24","(1000 MT)"
"1972","26","(1000 MT)"
"1973","35","(1000 MT)"
"1974","22","(1000 MT)"
"1975","23","(1000 MT)"
"1976","17","(1000 MT)"
"1977","33","(1000 MT)"
"1978","36","(1000 MT)"
"1979","14","(1000 MT)"
"1980","27","(1000 MT)"
"1981","39","(1000 MT)"
"1982","29","(1000 MT)"
"1983","31","(1000 MT)"
"1984","27","(1000 MT)"
"1985","30","(1000 MT)"
"1986","30","(1000 MT)"
"1987","28","(1000 MT)"
"1988","30","(1000 MT)"
"1989","30","(1000 MT)"
"1990","38","(1000 MT)"
"1991","43","(1000 MT)"
"1992","35","(1000 MT)"
"1993","35","(1000 MT)"
"1994","35","(1000 MT)"
"1995","35","(1000 MT)"
"1996","35","(1000 MT)"
"1997","35","(1000 MT)"
"1998","35","(1000 MT)"
"1999","35","(1000 MT)"
"2000","57","(1000 MT)"
"2001","55","(1000 MT)"
"2002","55","(1000 MT)"
"2003","34","(1000 MT)"
"2004","43","(1000 MT)"
"2005","25","(1000 MT)"
"2006","35","(1000 MT)"
"2007","36","(1000 MT)"
"2008","37","(1000 MT)"
"2009","38","(1000 MT)"
"2010","37","(1000 MT)"
"2011","44","(1000 MT)"
"2012","44","(1000 MT)"
"2013","36","(1000 MT)"
"2014","36","(1000 MT)"
"2015","36","(1000 MT)"
"2016","36","(1000 MT)"
"2017","36","(1000 MT)"
"2018","36","(1000 MT)"
"2019","36","(1000 MT)"
"2020","36","(1000 MT)"
"2021","37","(1000 MT)"
