Market Year, Value, Unit Description
"1964","52","(1000 MT)"
"1965","58","(1000 MT)"
"1966","63","(1000 MT)"
"1967","100","(1000 MT)"
"1968","104","(1000 MT)"
"1969","87","(1000 MT)"
"1970","112","(1000 MT)"
"1971","109","(1000 MT)"
"1972","107","(1000 MT)"
"1973","134","(1000 MT)"
"1974","157","(1000 MT)"
"1975","169","(1000 MT)"
"1976","160","(1000 MT)"
"1977","104","(1000 MT)"
"1978","91","(1000 MT)"
"1979","83","(1000 MT)"
"1980","60","(1000 MT)"
"1981","61","(1000 MT)"
"1982","82","(1000 MT)"
"1983","98","(1000 MT)"
"1984","123","(1000 MT)"
"1985","148","(1000 MT)"
"1986","124","(1000 MT)"
"1987","128","(1000 MT)"
"1988","120","(1000 MT)"
"1989","127","(1000 MT)"
"1990","144","(1000 MT)"
"1991","156","(1000 MT)"
"1992","160","(1000 MT)"
"1993","179","(1000 MT)"
"1994","221","(1000 MT)"
"1995","210","(1000 MT)"
"1996","229","(1000 MT)"
"1997","238","(1000 MT)"
"1998","231","(1000 MT)"
"1999","265","(1000 MT)"
"2000","264","(1000 MT)"
"2001","265","(1000 MT)"
"2002","261","(1000 MT)"
"2003","215","(1000 MT)"
"2004","203","(1000 MT)"
"2005","206","(1000 MT)"
"2006","221","(1000 MT)"
"2007","205","(1000 MT)"
"2008","177","(1000 MT)"
"2009","185","(1000 MT)"
"2010","209","(1000 MT)"
"2011","230","(1000 MT)"
"2012","235","(1000 MT)"
"2013","208","(1000 MT)"
"2014","228","(1000 MT)"
"2015","266","(1000 MT)"
"2016","238","(1000 MT)"
"2017","187","(1000 MT)"
"2018","201","(1000 MT)"
"2019","150","(1000 MT)"
"2020","154","(1000 MT)"
"2021","150","(1000 MT)"
"2022","150","(1000 MT)"
