Market Year, Value, Unit Description
"1960","107","(1000 MT CWE)"
"1961","114","(1000 MT CWE)"
"1962","122","(1000 MT CWE)"
"1963","111","(1000 MT CWE)"
"1964","118","(1000 MT CWE)"
"1965","130","(1000 MT CWE)"
"1966","139","(1000 MT CWE)"
"1967","145","(1000 MT CWE)"
"1968","156","(1000 MT CWE)"
"1969","170","(1000 MT CWE)"
"1970","177","(1000 MT CWE)"
"1971","185","(1000 MT CWE)"
"1972","213","(1000 MT CWE)"
"1973","238","(1000 MT CWE)"
"1974","186","(1000 MT CWE)"
"1975","172","(1000 MT CWE)"
"1976","179","(1000 MT CWE)"
"1977","192","(1000 MT CWE)"
"1978","199","(1000 MT CWE)"
"1979","206","(1000 MT CWE)"
"1980","232","(1000 MT CWE)"
"1981","231","(1000 MT CWE)"
"1982","230","(1000 MT CWE)"
"1983","247","(1000 MT CWE)"
"1984","256","(1000 MT CWE)"
"1985","263","(1000 MT CWE)"
"1986","270","(1000 MT CWE)"
"1987","283","(1000 MT CWE)"
"1988","298","(1000 MT CWE)"
"1989","302","(1000 MT CWE)"
"1990","319","(1000 MT CWE)"
"1991","312","(1000 MT CWE)"
"1992","336","(1000 MT CWE)"
"1993","328","(1000 MT CWE)"
"1994","344","(1000 MT CWE)"
"1995","351","(1000 MT CWE)"
"1996","330","(1000 MT CWE)"
"1997","339","(1000 MT CWE)"
"1998","369","(1000 MT CWE)"
"1999","362","(1000 MT CWE)"
"2000","365","(1000 MT CWE)"
"2001","379","(1000 MT CWE)"
"2002","407","(1000 MT CWE)"
"2003","419","(1000 MT CWE)"
"2004","395","(1000 MT CWE)"
"2005","390","(1000 MT CWE)"
"2006","383","(1000 MT CWE)"
"2007","385","(1000 MT CWE)"
"2008","345","(1000 MT CWE)"
"2009","324","(1000 MT CWE)"
"2010","339","(1000 MT CWE)"
"2011","344","(1000 MT CWE)"
"2012","352","(1000 MT CWE)"
"2013","360","(1000 MT CWE)"
"2014","362","(1000 MT CWE)"
"2015","374","(1000 MT CWE)"
"2016","386","(1000 MT CWE)"
"2017","408","(1000 MT CWE)"
"2018","424","(1000 MT CWE)"
"2019","398","(1000 MT CWE)"
"2020","419","(1000 MT CWE)"
"2021","440","(1000 MT CWE)"
"2022","450","(1000 MT CWE)"
