Market Year, Value, Unit Description
"1960","0","(1000 HEAD)"
"1961","0","(1000 HEAD)"
"1962","0","(1000 HEAD)"
"1963","0","(1000 HEAD)"
"1964","0","(1000 HEAD)"
"1965","0","(1000 HEAD)"
"1966","0","(1000 HEAD)"
"1967","3202","(1000 HEAD)"
"1968","3379","(1000 HEAD)"
"1969","3676","(1000 HEAD)"
"1970","3822","(1000 HEAD)"
"1971","4374","(1000 HEAD)"
"1972","4385","(1000 HEAD)"
"1973","3957","(1000 HEAD)"
"1974","3400","(1000 HEAD)"
"1975","3279","(1000 HEAD)"
"1976","3440","(1000 HEAD)"
"1977","4583","(1000 HEAD)"
"1978","3730","(1000 HEAD)"
"1979","3880","(1000 HEAD)"
"1980","4082","(1000 HEAD)"
"1981","4194","(1000 HEAD)"
"1982","4135","(1000 HEAD)"
"1983","4264","(1000 HEAD)"
"1984","4292","(1000 HEAD)"
"1985","4501","(1000 HEAD)"
"1986","4617","(1000 HEAD)"
"1987","4784","(1000 HEAD)"
"1988","4861","(1000 HEAD)"
"1989","5009","(1000 HEAD)"
"1990","4675","(1000 HEAD)"
"1991","4985","(1000 HEAD)"
"1992","5128","(1000 HEAD)"
"1993","4986","(1000 HEAD)"
"1994","5190","(1000 HEAD)"
"1995","5122","(1000 HEAD)"
"1996","4752","(1000 HEAD)"
"1997","4849","(1000 HEAD)"
"1998","5239","(1000 HEAD)"
"1999","4923","(1000 HEAD)"
"2000","5288","(1000 HEAD)"
"2001","5117","(1000 HEAD)"
"2002","5994","(1000 HEAD)"
"2003","5444","(1000 HEAD)"
"2004","5331","(1000 HEAD)"
"2005","5364","(1000 HEAD)"
"2006","5515","(1000 HEAD)"
"2007","5199","(1000 HEAD)"
"2008","4603","(1000 HEAD)"
"2009","4390","(1000 HEAD)"
"2010","4604","(1000 HEAD)"
"2011","4659","(1000 HEAD)"
"2012","4581","(1000 HEAD)"
"2013","4737","(1000 HEAD)"
"2014","5022","(1000 HEAD)"
"2015","4921","(1000 HEAD)"
"2016","5028","(1000 HEAD)"
