sep =,
Month,Region,Product,Average
May 2022,Metro,Diesel,194.500000
April 2022,Metro,Diesel,192.700000
March 2022,Metro,Diesel,207.400000
February 2022,Metro,Diesel,176.500000
January 2022,Metro,Diesel,164.600000
December 2021,Metro,Diesel,163.000000
November 2021,Metro,Diesel,165.400000
October 2021,Metro,Diesel,157.400000
September 2021,Metro,Diesel,145.500000
August 2021,Metro,Diesel,143.500000
July 2021,Metro,Diesel,141.900000
June 2021,Metro,Diesel,136.300000
May 2021,Metro,Diesel,133.700000
April 2021,Metro,Diesel,133.500000
March 2021,Metro,Diesel,132.600000
February 2021,Metro,Diesel,126.600000
January 2021,Metro,Diesel,120.900000
December 2020,Metro,Diesel,118.900000
November 2020,Metro,Diesel,118.200000
October 2020,Metro,Diesel,118.900000
September 2020,Metro,Diesel,119.600000
August 2020,Metro,Diesel,120.300000
July 2020,Metro,Diesel,120.700000
June 2020,Metro,Diesel,119.800000
May 2020,Metro,Diesel,121.300000
April 2020,Metro,Diesel,131.400000
March 2020,Metro,Diesel,142.800000
February 2020,Metro,Diesel,148.200000
January 2020,Metro,Diesel,149.600000
December 2019,Metro,Diesel,148.800000
November 2019,Metro,Diesel,148.900000
October 2019,Metro,Diesel,149.500000
September 2019,Metro,Diesel,146.900000
August 2019,Metro,Diesel,147.200000
July 2019,Metro,Diesel,148.100000
June 2019,Metro,Diesel,149.900000
May 2019,Metro,Diesel,151.700000
April 2019,Metro,Diesel,149.600000
March 2019,Metro,Diesel,146.800000
February 2019,Metro,Diesel,142.400000
January 2019,Metro,Diesel,140.200000
December 2018,Metro,Diesel,150.300000
November 2018,Metro,Diesel,164.000000
October 2018,Metro,Diesel,166.300000
September 2018,Metro,Diesel,158.600000
August 2018,Metro,Diesel,154.500000
July 2018,Metro,Diesel,156.100000
June 2018,Metro,Diesel,157.200000
May 2018,Metro,Diesel,153.100000
April 2018,Metro,Diesel,145.000000
March 2018,Metro,Diesel,142.100000
February 2018,Metro,Diesel,142.700000
January 2018,Metro,Diesel,141.800000
December 2017,Metro,Diesel,139.400000
November 2017,Metro,Diesel,134.100000
October 2017,Metro,Diesel,129.000000
September 2017,Metro,Diesel,127.200000
August 2017,Metro,Diesel,127.100000
July 2017,Metro,Diesel,128.300000
June 2017,Metro,Diesel,130.100000
May 2017,Metro,Diesel,130.800000
April 2017,Metro,Diesel,131.100000
March 2017,Metro,Diesel,132.300000
February 2017,Metro,Diesel,133.300000
January 2017,Metro,Diesel,134.400000
December 2016,Metro,Diesel,130.600000
November 2016,Metro,Diesel,126.500000
October 2016,Metro,Diesel,122.400000
September 2016,Metro,Diesel,121.000000
August 2016,Metro,Diesel,121.200000
July 2016,Metro,Diesel,125.400000
June 2016,Metro,Diesel,123.900000
May 2016,Metro,Diesel,114.400000
April 2016,Metro,Diesel,112.100000
March 2016,Metro,Diesel,112.500000
February 2016,Metro,Diesel,115.800000
January 2016,Metro,Diesel,122.100000
December 2015,Metro,Diesel,127.100000
November 2015,Metro,Diesel,130.700000
