date,cattle_exclud_calves_prod,lambs_prod,sheep_prod,pigs_prod,total_beef_prod,veel_prod,bulls_bullocks_steers_slaughterings,calves_slaughterings,cattle_exclu_calves_slaughterings,cows_heifers_slaughterings,lamb_slaughterings,pig_slaughterings,sheep_slaughterings
Jul-1972,121000,25184,39814,18028,209456,5430,,196,567,,1593,365,2117
Aug-1972,127842,24196,37682,20091,216225,6414,,251,605,,1600,409,2017
Sep-1972,111796,22955,33739,18718,192245,5037,,170,541,,1535,380,1814
Oct-1972,110565,27916,41975,20007,204724,4261,,129,537,,1904,408,2213
Nov-1972,109471,30101,48027,20629,212670,4442,,104,538,,1956,420,2480
Dec-1972,95889,26261,44494,17828,187932,3460,,69,476,,1660,376,2345
Jan-1973,109086,26283,48338,18472,206744,4565,,88,543,,1704,368,2556
Feb-1973,113374,19348,43000,18166,197938,4050,,71,569,,1254,363,2309
Mar-1973,132971,19876,46553,20582,224219,4237,,78,662,,1286,408,2503
Apr-1973,98570,17036,24575,17838,161131,3112,,63,491,,1069,349,1351
May-1973,144891,20612,25464,25266,221475,5242,,117,712,,1271,491,1358
Jun-1973,120563,18811,16914,20548,180949,4113,,117,593,,1146,407,896
Jul-1973,126906,19266,16988,21524,190080,5396,,213,605,,1148,421,849
Aug-1973,144288,20424,16614,21588,209196,6282,,255,691,,1220,425,819
Sep-1973,135437,21230,17314,18521,196825,4323,,147,632,,1261,362,845
Oct-1973,131708,27013,21425,20242,204253,3865,,104,613,,1630,396,1023
Nov-1973,119565,25261,26943,18985,194194,3440,,65,560,,1476,373,1283
Dec-1973,86118,18252,20764,16590,143971,2247,,40,414,,1089,348,998
Jan-1974,84966,19081,23117,15174,144369,2031,,39,412,,1144,297,1100
Feb-1974,85445,16358,21698,14975,140804,2328,,38,412,,962,294,1063
Mar-1974,85717,17600,21701,16095,143561,2448,,49,409,,1011,317,1082
Apr-1974,83822,17234,16094,15814,136172,3208,,65,401,,1001,315,806
May-1974,99777,17548,15113,16757,152731,3536,,81,474,,1026,325,763
Jun-1974,95363,16886,13548,14771,144169,3601,,102,442,,980,297,676
Jul-1974,86676,19492,12750,16126,140632,5588,,208,409,,1136,350,630
Aug-1974,89159,20084,14345,14338,143192,5266,,217,418,,1178,278,699
Sep-1974,113703,24958,18059,15539,176892,4633,,163,512,,1494,302,871
Oct-1974,141719,31904,23013,16561,217580,4383,,133,646,,1899,322,1104
Nov-1974,143763,28126,21910,16087,213382,3496,,84,637,,1664,317,1058
Dec-1974,125779,23684,21466,14239,188170,3002,,63,574,,1401,294,1045
Jan-1975,123489,23176,24844,12721,188044,3814,,78,577,,1373,245,1220
Feb-1975,122388,20077,25885,12711,184716,3655,,77,567,,1187,249,1283
Mar-1975,121229,19836,26994,13760,185798,3979,,87,573,,1180,271,1356
Apr-1975,135650,19861,26607,14457,201633,5058,,126,641,,1185,279,1350
May-1975,144014,19751,21970,14479,205601,5387,,134,676,,1182,279,1100
Jun-1975,145210,19288,19978,14053,204453,5924,,167,685,,1157,268,1010
Jul-1975,164721,20750,23001,15914,233544,9158,,314,755,,1259,299,1161
Aug-1975,133718,19361,20067,13395,194086,7545,,274,631,,1216,257,1007
Sep-1975,143598,22585,23270,14759,211530,7318,,249,679,,1429,277,1143
Oct-1975,151387,26762,28016,15665,228000,6170,,170,718,,1661,297,1415
Nov-1975,122951,22609,27606,14555,192630,4909,,114,590,,1389,277,1408
Dec-1975,127590,21794,29386,15354,198750,4626,,93,623,,1347,305,1483
Jan-1976,119029,21003,28200,12152,185374,4990,,95,595,,1270,229,1444
Feb-1976,144696,19619,29176,12935,212772,6346,,109,713,,1193,244,1525
Mar-1976,162230,23008,32145,14910,240196,7903,,143,800,,1389,281,1703
Apr-1976,152754,21889,29369,14060,226244,8172,,166,757,,1311,265,1559
May-1976,169794,21155,29821,14940,243930,8220,,175,839,,1282,278,1578
Jun-1976,164121,21636,25492,15186,234904,8469,,209,809,,1312,286,1355
Jul-1976,165398,22483,23225,16066,238759,11587,422,361,814,382,1377,300,1253
Aug-1976,151377,21398,21524,16016,221756,11441,390,395,760,359,1369,299,1231
Sep-1976,155971,22696,24826,15878,229522,10151,411,321,777,355,1475,297,1345
Oct-1976,145423,22791,25181,14681,216190,8114,387,221,716,319,1456,281,1344
Nov-1976,135540,24591,29018,15947,212543,7447,361,171,678,312,1539,301,1521
Dec-1976,133240,20404,31133,16592,207926,6557,351,131,681,328,1249,323,1608
Jan-1977,134896,18685,29320,12528,201547,6118,340,126,684,341,1135,235,1557
Feb-1977,159770,19247,32805,13541,232812,7449,385,131,817,430,1188,256,1765
Mar-1977,179760,20154,29644,16343,253362,7461,425,144,910,483,1231,306,1614
Apr-1977,160502,17585,22241,14571,221224,6325,387,134,812,421,1070,271,1202
May-1977,179402,17817,19874,15585,239640,6962,421,147,902,469,1077,288,1081
Jun-1977,188522,17698,14921,17335,246840,8364,452,201,948,482,1122,322,806
Jul-1977,179131,19339,14285,17318,240337,10264,437,309,898,449,1127,319,774
Aug-1977,180428,21804,16485,18064,249433,12652,451,413,892,428,1337,331,886
Sep-1977,187965,25339,20392,16738,261050,10616,477,323,934,442,1556,310,1065
Oct-1977,179832,27107,26993,16309,259266,9025,454,225,886,415,1670,302,1370
Nov-1977,182627,25375,31288,17644,265662,8728,463,190,908,432,1545,330,1592
Dec-1977,145428,20461,29579,16490,217973,6015,382,121,737,352,1241,325,1527
Jan-1978,152503,21164,28596,13513,223019,7243,373,144,783,407,1285,251,1506
Feb-1978,158122,18016,26019,14869,224439,7413,387,134,804,414,1093,277,1388
Mar-1978,179110,20123,23797,16437,247080,7613,432,146,901,464,1230,305,1285
Apr-1978,161857,18173,15608,15685,218643,7320,414,149,813,388,1095,287,854
May-1978,191448,19457,17803,18624,256223,8891,485,188,966,466,1173,339,981
Jun-1978,181442,16482,9935,17389,233415,8167,447,191,913,448,984,317,545
Jul-1978,169873,16749,10007,16803,222603,9171,424,291,844,419,1006,305,533
Aug-1978,174525,23009,13429,18216,239523,10344,452,361,864,412,1380,333,692
Sep-1978,166890,27038,16060,16206,233166,6972,449,228,814,364,1603,291,805
Oct-1978,179113,32575,24236,17126,259303,6253,473,158,869,397,1903,305,1143
Nov-1978,181102,27111,26940,18405,259325,5767,485,119,883,399,1560,333,1300
Dec-1978,145545,20606,21628,15834,207730,4117,388,77,705,317,1173,302,1047
Jan-1979,153875,20140,22715,14751,216123,4642,395,86,747,352,1182,267,1121
Feb-1979,169946,18232,24696,14456,231992,4662,423,81,826,403,1073,263,1246
Mar-1979,181616,18232,24416,15994,245111,4853,436,88,891,454,1077,291,1262
Apr-1979,143612,15718,18761,15344,197984,4549,343,94,707,364,919,278,972
May-1979,152237,17211,21430,19012,214903,5013,370,118,750,380,1007,333,1114
Jun-1979,129227,15897,14555,16415,180297,4203,324,120,627,303,928,288,745
Jul-1979,128668,21992,14050,17799,188594,6085,347,219,613,266,1299,308,704
Aug-1979,136727,31444,20481,19167,215717,7898,372,310,656,283,1920,335,1039
Sep-1979,137419,30614,20698,17247,211497,5519,381,189,649,268,1875,300,1032
Oct-1979,154480,32994,28683,19105,240028,4766,418,135,727,309,1989,337,1392
Nov-1979,124397,25419,31904,19118,204410,3572,340,82,592,252,1500,342,1570
Dec-1979,98992,20109,27649,16802,166248,2696,270,56,478,208,1182,320,1354
Jan-1980,111438,20863,32128,16374,184223,3420,299,72,543,244,1243,290,1619
Feb-1980,111932,18159,28122,16183,177751,3355,280,65,549,269,1076,293,1473
Mar-1980,108116,17245,23240,16083,168004,3320,279,71,537,258,1048,288,1240
Apr-1980,135920,19938,23807,20202,204808,4941,328,117,686,359,1230,351,1274
May-1980,143330,17313,15721,20607,201523,4552,354,109,733,379,1063,366,870
Jun-1980,119006,15682,8850,19364,166795,3893,320,113,589,269,968,348,486
Jul-1980,145331,22594,11122,21782,206954,6125,398,238,700,302,1381,391,586
Aug-1980,131046,25053,13444,20265,196061,6253,362,259,631,270,1533,366,678
Sep-1980,136444,28696,22789,19238,212703,5536,370,190,676,306,1728,347,1119
Oct-1980,137775,29979,36697,20944,230121,4726,373,136,685,312,1804,376,1794
Nov-1980,103057,23073,34355,20176,184059,3398,282,82,506,224,1358,361,1672
Dec-1980,97916,22034,36115,19696,178491,2730,267,61,485,218,1305,377,1779
Jan-1981,89779,21136,35051,15872,164925,3087,240,63,440,200,1262,291,1782
Feb-1981,95745,19859,34148,16823,169329,2754,249,54,470,221,1176,303,1798
Mar-1981,109097,21912,27322,19383,181096,3382,283,67,530,246,1292,345,1451
Apr-1981,113367,22825,21690,19428,181108,3797,292,90,564,272,1344,354,1179
May-1981,136446,21795,17271,19650,199100,3938,347,103,680,333,1284,353,928
Jun-1981,121659,20266,8937,19739,174402,3800,325,120,606,281,1181,352,483
Jul-1981,133352,21955,8716,20918,190664,5724,367,225,648,281,1314,374,463
Aug-1981,111060,20332,8268,19954,166080,6467,310,269,529,219,1222,354,419
Sep-1981,122388,26463,14974,19886,189107,5395,354,204,581,227,1600,354,743
Oct-1981,128484,28329,23818,18864,203678,4184,364,120,605,241,1693,333,1173
Nov-1981,101046,23722,20220,19016,167085,3081,287,68,476,190,1406,349,1020
Dec-1981,111106,23893,26022,20984,185171,3166,299,64,523,224,1405,392,1288
Jan-1982,109335,22641,28544,15200,178753,3032,296,63,524,228,1321,269,1443
Feb-1982,127000,21115,26980,16544,194845,3205,325,63,592,268,1234,293,1375
Mar-1982,148191,23944,26142,19378,221471,3816,376,77,697,322,1396,348,1354
Apr-1982,133499,20926,19698,18386,196020,3511,342,86,621,280,1226,321,1021
May-1982,147878,20325,16485,19294,207779,3797,383,99,695,312,1179,329,856
Jun-1982,152901,23117,14130,20001,214727,4578,394,135,727,333,1335,344,710
Jul-1982,161643,25795,13084,20128,226617,5967,436,224,761,325,1476,346,676
Aug-1982,125114,26941,13597,19067,192205,7485,341,323,605,263,1606,330,707
Sep-1982,159105,30344,24395,20934,242230,7452,433,268,775,341,1842,361,1245
Oct-1982,125099,26512,27665,18831,203132,5025,346,138,620,274,1602,324,1417
Nov-1982,119018,24711,32317,20564,201525,4914,317,106,598,281,1483,358,1638
Dec-1982,112550,23915,31204,21492,193539,4378,282,88,577,295,1429,394,1574
Jan-1983,97274,20925,24788,16047,162937,3905,252,76,498,246,1250,284,1284
Feb-1983,112204,21119,24611,17403,179853,4517,280,88,571,291,1320,308,1326
Mar-1983,131695,23440,20852,21092,202001,4922,335,101,675,340,1431,372,1153
Apr-1983,114298,17825,15490,18981,170788,4194,285,94,581,295,1106,323,879
May-1983,106269,17538,12436,21363,161406,3800,268,95,538,271,1064,365,698
Jun-1983,117367,21374,9328,23168,175922,4686,302,141,576,274,1270,397,508
Jul-1983,121870,23394,8634,20753,180280,5628,327,212,580,254,1372,358,462
Aug-1983,126557,29971,9336,21998,195006,7144,342,287,601,259,1749,381,491
Sep-1983,126573,29804,10383,21060,192651,4831,343,184,590,248,1726,363,515
Oct-1983,118139,29619,15643,20737,187264,3126,317,91,546,229,1722,353,746
Nov-1983,107146,26394,19298,22580,178239,2822,288,62,495,207,1502,394,927
Dec-1983,83020,22272,15219,21842,144563,2209,231,46,394,163,1293,395,729
Jan-1984,83636,22044,15945,17808,141684,2251,225,46,390,165,1272,311,745
Feb-1984,105744,21848,18234,19880,167958,2252,263,43,472,208,1269,348,897
Mar-1984,104397,21895,16440,21766,166845,2347,267,49,469,202,1268,376,824
Apr-1984,90834,20950,14802,19107,148140,2447,244,61,418,174,1202,334,766
May-1984,116614,24836,13748,23296,181943,3449,304,92,535,231,1416,404,703
Jun-1984,118701,22842,11441,22452,178974,3538,315,114,540,224,1317,385,568
Jul-1984,126365,23305,9632,22530,187087,5255,323,213,568,244,1345,383,461
Aug-1984,113883,24368,10745,23335,178536,6204,306,263,518,212,1455,395,529
Sep-1984,98734,23561,14469,21384,162348,4200,268,157,445,178,1426,364,715
Oct-1984,102625,29018,22569,21763,179181,3206,277,90,466,189,1696,394,1088
