Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,042027,1912,08,25.7,Y
IDCJAC0001,042027,1912,09,12.7,Y
IDCJAC0001,042027,1912,10,44.1,Y
IDCJAC0001,042027,1912,11,51.8,Y
IDCJAC0001,042027,1912,12,6.4,Y
IDCJAC0001,042027,1913,01,27.5,Y
IDCJAC0001,042027,1913,02,60.0,Y
IDCJAC0001,042027,1913,03,54.8,Y
IDCJAC0001,042027,1913,04,54.3,Y
IDCJAC0001,042027,1913,05,94.2,Y
IDCJAC0001,042027,1913,06,72.2,Y
IDCJAC0001,042027,1913,07,22.9,Y
IDCJAC0001,042027,1913,08,0.0,Y
IDCJAC0001,042027,1913,09,7.9,Y
IDCJAC0001,042027,1913,10,61.0,Y
IDCJAC0001,042027,1913,11,9.7,Y
IDCJAC0001,042027,1913,12,32.0,Y
IDCJAC0001,042027,1914,01,24.4,Y
IDCJAC0001,042027,1914,02,138.1,Y
IDCJAC0001,042027,1914,03,101.8,Y
IDCJAC0001,042027,1914,04,18.1,Y
IDCJAC0001,042027,1914,05,110.5,Y
IDCJAC0001,042027,1914,06,22.3,Y
IDCJAC0001,042027,1914,07,40.8,Y
IDCJAC0001,042027,1914,08,0.0,Y
IDCJAC0001,042027,1914,09,3.6,Y
IDCJAC0001,042027,1914,10,14.4,Y
IDCJAC0001,042027,1914,11,37.6,Y
IDCJAC0001,042027,1914,12,59.7,Y
IDCJAC0001,042027,1915,01,10.4,Y
IDCJAC0001,042027,1915,02,0.0,Y
IDCJAC0001,042027,1915,03,0.0,Y
IDCJAC0001,042027,1915,04,4.3,Y
IDCJAC0001,042027,1915,05,31.8,Y
IDCJAC0001,042027,1915,06,17.3,Y
IDCJAC0001,042027,1915,07,62.1,Y
IDCJAC0001,042027,1915,08,40.2,Y
IDCJAC0001,042027,1915,09,5.6,Y
IDCJAC0001,042027,1915,10,1.3,Y
IDCJAC0001,042027,1915,11,1.5,Y
IDCJAC0001,042027,1915,12,34.1,Y
IDCJAC0001,042027,1916,01,33.6,Y
IDCJAC0001,042027,1916,02,63.0,Y
IDCJAC0001,042027,1916,03,54.9,Y
IDCJAC0001,042027,1916,04,55.2,Y
IDCJAC0001,042027,1916,05,3.0,Y
IDCJAC0001,042027,1916,06,81.4,Y
IDCJAC0001,042027,1916,07,76.1,Y
IDCJAC0001,042027,1916,08,17.4,Y
IDCJAC0001,042027,1916,09,33.3,Y
IDCJAC0001,042027,1916,10,50.5,Y
IDCJAC0001,042027,1916,11,176.6,Y
IDCJAC0001,042027,1916,12,124.9,Y
IDCJAC0001,042027,1917,01,173.7,Y
IDCJAC0001,042027,1917,02,144.5,Y
IDCJAC0001,042027,1917,03,46.2,Y
