Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,053115,1995,05,20.4,Y
IDCJAC0002,053115,1995,06,17.7,Y
IDCJAC0002,053115,1995,07,17.2,Y
IDCJAC0002,053115,1995,08,22.5,Y
IDCJAC0002,053115,1995,09,23.9,Y
IDCJAC0002,053115,1995,10,27.5,Y
IDCJAC0002,053115,1995,11,30.7,Y
IDCJAC0002,053115,1995,12,30.6,Y
IDCJAC0002,053115,1996,01,30.9,Y
IDCJAC0002,053115,1996,02,30.5,Y
IDCJAC0002,053115,1996,03,31.1,Y
IDCJAC0002,053115,1996,04,25.8,Y
IDCJAC0002,053115,1996,05,22.7,Y
IDCJAC0002,053115,1996,06,19.3,Y
IDCJAC0002,053115,1996,07,16.3,Y
IDCJAC0002,053115,1996,08,19.1,Y
IDCJAC0002,053115,1996,09,23.3,Y
IDCJAC0002,053115,1996,10,27.4,Y
IDCJAC0002,053115,1996,11,30.9,Y
IDCJAC0002,053115,1996,12,32.4,Y
IDCJAC0002,053115,1997,01,31.7,Y
IDCJAC0002,053115,1997,02,32.2,Y
IDCJAC0002,053115,1997,03,30.4,Y
IDCJAC0002,053115,1997,04,28.0,Y
IDCJAC0002,053115,1997,05,21.9,Y
IDCJAC0002,053115,1997,06,19.2,Y
IDCJAC0002,053115,1997,07,18.6,Y
IDCJAC0002,053115,1997,08,20.7,Y
IDCJAC0002,053115,1997,09,24.7,Y
IDCJAC0002,053115,1997,10,27.9,Y
IDCJAC0002,053115,1997,11,32.9,Y
IDCJAC0002,053115,1997,12,33.9,Y
IDCJAC0002,053115,1998,01,34.8,Y
IDCJAC0002,053115,1998,02,34.1,Y
IDCJAC0002,053115,1998,03,34.3,Y
IDCJAC0002,053115,1998,04,26.8,Y
IDCJAC0002,053115,1998,05,21.0,Y
IDCJAC0002,053115,1998,06,17.4,Y
IDCJAC0002,053115,1998,07,15.7,Y
IDCJAC0002,053115,1998,08,18.8,Y
IDCJAC0002,053115,1998,09,22.1,Y
IDCJAC0002,053115,1998,10,25.1,Y
IDCJAC0002,053115,1998,11,27.9,Y
IDCJAC0002,053115,1998,12,33.0,Y
IDCJAC0002,053115,1999,01,33.0,Y
IDCJAC0002,053115,1999,02,32.1,Y
IDCJAC0002,053115,1999,03,30.0,Y
IDCJAC0002,053115,1999,04,25.3,Y
IDCJAC0002,053115,1999,05,23.7,Y
IDCJAC0002,053115,1999,06,19.0,Y
IDCJAC0002,053115,1999,07,18.7,Y
IDCJAC0002,053115,1999,08,20.7,Y
IDCJAC0002,053115,1999,09,24.0,Y
IDCJAC0002,053115,1999,10,27.1,Y
IDCJAC0002,053115,1999,11,25.8,Y
IDCJAC0002,053115,1999,12,29.0,Y
IDCJAC0002,053115,2000,01,32.1,Y
IDCJAC0002,053115,2000,02,32.5,Y
IDCJAC0002,053115,2000,03,29.7,Y
IDCJAC0002,053115,2000,04,27.2,Y
IDCJAC0002,053115,2000,05,22.0,Y
IDCJAC0002,053115,2000,06,18.4,Y
IDCJAC0002,053115,2000,07,18.7,Y
IDCJAC0002,053115,2000,08,20.3,Y
IDCJAC0002,053115,2000,09,28.1,Y
IDCJAC0002,053115,2000,10,27.0,Y
IDCJAC0002,053115,2000,11,27.2,Y
IDCJAC0002,053115,2000,12,32.3,Y
IDCJAC0002,053115,2001,01,34.7,Y
IDCJAC0002,053115,2001,02,32.3,Y
IDCJAC0002,053115,2001,03,30.0,Y
IDCJAC0002,053115,2001,04,27.4,Y
IDCJAC0002,053115,2001,05,21.8,Y
IDCJAC0002,053115,2001,06,20.7,Y
IDCJAC0002,053115,2001,07,18.4,Y
IDCJAC0002,053115,2001,08,19.5,Y
IDCJAC0002,053115,2001,09,23.8,Y
IDCJAC0002,053115,2001,10,25.6,Y
IDCJAC0002,053115,2001,11,28.1,Y
IDCJAC0002,053115,2001,12,32.4,Y
IDCJAC0002,053115,2002,01,34.7,Y
IDCJAC0002,053115,2002,02,32.9,Y
IDCJAC0002,053115,2002,03,32.3,Y
IDCJAC0002,053115,2002,04,28.0,Y
IDCJAC0002,053115,2002,05,22.8,Y
IDCJAC0002,053115,2002,06,19.7,Y
IDCJAC0002,053115,2002,07,19.7,Y
IDCJAC0002,053115,2002,08,21.9,Y
IDCJAC0002,053115,2002,09,25.7,Y
IDCJAC0002,053115,2002,10,30.4,Y
IDCJAC0002,053115,2002,11,33.8,Y
IDCJAC0002,053115,2002,12,33.4,Y
IDCJAC0002,053115,2003,01,36.0,Y
IDCJAC0002,053115,2003,02,32.8,Y
IDCJAC0002,053115,2003,03,29.4,Y
IDCJAC0002,053115,2003,04,24.9,Y
IDCJAC0002,053115,2003,05,23.1,Y
IDCJAC0002,053115,2003,06,19.6,Y
IDCJAC0002,053115,2003,07,17.9,Y
IDCJAC0002,053115,2003,08,19.3,Y
IDCJAC0002,053115,2003,09,25.9,Y
IDCJAC0002,053115,2003,10,25.7,Y
IDCJAC0002,053115,2003,11,30.8,Y
IDCJAC0002,053115,2003,12,34.3,Y
IDCJAC0002,053115,2004,01,33.4,Y
IDCJAC0002,053115,2004,02,35.1,Y
IDCJAC0002,053115,2004,03,30.4,Y
IDCJAC0002,053115,2004,04,28.2,Y
IDCJAC0002,053115,2004,05,22.0,Y
IDCJAC0002,053115,2004,06,19.5,Y
IDCJAC0002,053115,2004,07,18.6,Y
IDCJAC0002,053115,2004,08,20.5,Y
IDCJAC0002,053115,2004,09,23.4,Y
IDCJAC0002,053115,2004,10,28.7,Y
IDCJAC0002,053115,2004,11,30.1,Y
IDCJAC0002,053115,2004,12,30.5,Y
IDCJAC0002,053115,2005,01,34.0,Y
IDCJAC0002,053115,2005,02,34.3,Y
IDCJAC0002,053115,2005,03,31.0,Y
IDCJAC0002,053115,2005,04,30.0,Y
IDCJAC0002,053115,2005,05,22.9,Y
IDCJAC0002,053115,2005,06,19.1,Y
IDCJAC0002,053115,2005,07,18.6,Y
IDCJAC0002,053115,2005,08,20.0,Y
IDCJAC0002,053115,2005,09,24.0,Y
IDCJAC0002,053115,2005,10,29.6,Y
IDCJAC0002,053115,2005,11,30.7,Y
IDCJAC0002,053115,2005,12,35.2,Y
IDCJAC0002,053115,2006,01,35.6,Y
IDCJAC0002,053115,2006,02,34.0,Y
IDCJAC0002,053115,2006,03,30.9,Y
IDCJAC0002,053115,2006,04,26.7,Y
IDCJAC0002,053115,2006,05,22.0,Y
IDCJAC0002,053115,2006,06,18.9,Y
IDCJAC0002,053115,2006,07,18.3,Y
IDCJAC0002,053115,2006,08,21.2,Y
IDCJAC0002,053115,2006,09,25.3,Y
IDCJAC0002,053115,2006,10,29.9,Y
IDCJAC0002,053115,2006,11,32.0,Y
IDCJAC0002,053115,2006,12,32.1,Y
IDCJAC0002,053115,2007,01,35.1,Y
IDCJAC0002,053115,2007,02,34.4,Y
