Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,053115,1995,null,null,null,null,20.4,17.7,17.2,22.5,23.9,27.5,30.7,30.6,null
IDCJAC0002,053115,1996,30.9,30.5,31.1,25.8,22.7,19.3,16.3,19.1,23.3,27.4,30.9,32.4,25.8
IDCJAC0002,053115,1997,31.7,32.2,30.4,28.0,21.9,19.2,18.6,20.7,24.7,27.9,32.9,33.9,26.8
IDCJAC0002,053115,1998,34.8,34.1,34.3,26.8,21.0,17.4,15.7,18.8,22.1,25.1,27.9,33.0,25.9
IDCJAC0002,053115,1999,33.0,32.1,30.0,25.3,23.7,19.0,18.7,20.7,24.0,27.1,25.8,29.0,25.7
IDCJAC0002,053115,2000,32.1,32.5,29.7,27.2,22.0,18.4,18.7,20.3,28.1,27.0,27.2,32.3,26.3
IDCJAC0002,053115,2001,34.7,32.3,30.0,27.4,21.8,20.7,18.4,19.5,23.8,25.6,28.1,32.4,26.2
IDCJAC0002,053115,2002,34.7,32.9,32.3,28.0,22.8,19.7,19.7,21.9,25.7,30.4,33.8,33.4,27.9
IDCJAC0002,053115,2003,36.0,32.8,29.4,24.9,23.1,19.6,17.9,19.3,25.9,25.7,30.8,34.3,26.6
IDCJAC0002,053115,2004,33.4,35.1,30.4,28.2,22.0,19.5,18.6,20.5,23.4,28.7,30.1,30.5,26.7
IDCJAC0002,053115,2005,34.0,34.3,31.0,30.0,22.9,19.1,18.6,20.0,24.0,29.6,30.7,35.2,27.5
IDCJAC0002,053115,2006,35.6,34.0,30.9,26.7,22.0,18.9,18.3,21.2,25.3,29.9,32.0,32.1,27.2
IDCJAC0002,053115,2007,35.1,34.4,32.7,28.3,23.9,15.5,16.7,21.7,25.4,31.1,28.8,30.9,27.0
IDCJAC0002,053115,2008,31.0,29.2,30.0,25.6,23.3,20.3,18.1,18.9,24.1,28.5,29.0,32.5,25.9
IDCJAC0002,053115,2009,34.1,32.4,31.5,26.7,22.6,19.2,18.4,23.6,24.7,28.4,35.5,34.1,27.6
IDCJAC0002,053115,2010,33.9,32.6,30.4,28.0,22.7,18.2,18.0,17.6,22.2,24.7,27.4,29.6,25.4
IDCJAC0002,053115,2011,34.5,34.4,30.2,26.8,21.1,18.6,17.5,20.9,23.9,25.6,31.2,28.1,26.1
IDCJAC0002,053115,2012,30.5,30.1,30.0,26.8,22.5,19.0,17.5,19.9,24.6,28.6,33.0,34.5,26.4
IDCJAC0002,053115,2013,35.7,30.7,29.8,27.4,22.4,18.3,20.0,22.0,28.0,29.9,31.8,35.2,27.6
IDCJAC0002,053115,2014,35.9,34.3,30.9,28.0,23.8,19.6,19.2,20.5,25.0,30.9,35.3,34.3,28.1
IDCJAC0002,053115,2015,33.0,34.0,32.9,24.7,21.8,19.4,16.8,19.4,24.1,31.4,33.8,33.9,27.1
IDCJAC0002,053115,2016,32.9,35.8,33.4,30.4,24.1,17.6,18.1,19.5,20.2,25.7,31.8,35.9,27.1
IDCJAC0002,053115,2017,38.3,37.4,31.3,26.0,23.3,20.4,20.3,21.5,26.8,28.9,29.7,34.8,28.2
IDCJAC0002,053115,2018,37.1,34.7,32.7,30.3,23.8,20.3,20.6,21.0,25.9,28.9,31.5,35.2,28.5
IDCJAC0002,053115,2019,37.9,35.7,33.4,29.3,23.2,20.0,20.9,22.5,27.3,30.9,33.1,37.3,29.3
IDCJAC0002,053115,2020,37.0,31.2,30.1,26.7,21.5,19.8,19.1,20.2,25.7,29.1,35.4,32.2,27.3
IDCJAC0002,053115,2021,33.3,34.3,29.7,26.1,22.1,18.2,17.5,21.2,23.3,27.8,28.9,33.1,26.3
IDCJAC0002,053115,2022,34.8,32.8,31.3,null,null,null,null,null,null,null,null,null,null
