Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,53115,1995,5,20.4,Y
IDCJAC0002,53115,1995,6,17.7,Y
IDCJAC0002,53115,1995,7,17.2,Y
IDCJAC0002,53115,1995,8,22.5,Y
IDCJAC0002,53115,1995,9,23.9,Y
IDCJAC0002,53115,1995,10,27.5,Y
IDCJAC0002,53115,1995,11,30.7,Y
IDCJAC0002,53115,1995,12,30.6,Y
IDCJAC0002,53115,1996,1,30.9,Y
IDCJAC0002,53115,1996,2,30.5,Y
IDCJAC0002,53115,1996,3,31.1,Y
IDCJAC0002,53115,1996,4,25.8,Y
IDCJAC0002,53115,1996,5,22.7,Y
IDCJAC0002,53115,1996,6,19.3,Y
IDCJAC0002,53115,1996,7,16.3,Y
IDCJAC0002,53115,1996,8,19.1,Y
IDCJAC0002,53115,1996,9,23.3,Y
IDCJAC0002,53115,1996,10,27.4,Y
IDCJAC0002,53115,1996,11,30.9,Y
IDCJAC0002,53115,1996,12,32.4,Y
IDCJAC0002,53115,1997,1,31.7,Y
IDCJAC0002,53115,1997,2,32.2,Y
IDCJAC0002,53115,1997,3,30.4,Y
IDCJAC0002,53115,1997,4,28,Y
IDCJAC0002,53115,1997,5,21.9,Y
IDCJAC0002,53115,1997,6,19.2,Y
IDCJAC0002,53115,1997,7,18.6,Y
IDCJAC0002,53115,1997,8,20.7,Y
IDCJAC0002,53115,1997,9,24.7,Y
IDCJAC0002,53115,1997,10,27.9,Y
IDCJAC0002,53115,1997,11,32.9,Y
IDCJAC0002,53115,1997,12,33.9,Y
IDCJAC0002,53115,1998,1,34.8,Y
IDCJAC0002,53115,1998,2,34.1,Y
IDCJAC0002,53115,1998,3,34.3,Y
IDCJAC0002,53115,1998,4,26.8,Y
IDCJAC0002,53115,1998,5,21,Y
IDCJAC0002,53115,1998,6,17.4,Y
IDCJAC0002,53115,1998,7,15.7,Y
IDCJAC0002,53115,1998,8,18.8,Y
IDCJAC0002,53115,1998,9,22.1,Y
IDCJAC0002,53115,1998,10,25.1,Y
IDCJAC0002,53115,1998,11,27.9,Y
IDCJAC0002,53115,1998,12,33,Y
IDCJAC0002,53115,1999,1,33,Y
IDCJAC0002,53115,1999,2,32.1,Y
IDCJAC0002,53115,1999,3,30,Y
IDCJAC0002,53115,1999,4,25.3,Y
IDCJAC0002,53115,1999,5,23.7,Y
IDCJAC0002,53115,1999,6,19,Y
IDCJAC0002,53115,1999,7,18.7,Y
IDCJAC0002,53115,1999,8,20.7,Y
IDCJAC0002,53115,1999,9,24,Y
IDCJAC0002,53115,1999,10,27.1,Y
IDCJAC0002,53115,1999,11,25.8,Y
IDCJAC0002,53115,1999,12,29,Y
IDCJAC0002,53115,2000,1,32.1,Y
IDCJAC0002,53115,2000,2,32.5,Y
IDCJAC0002,53115,2000,3,29.7,Y
IDCJAC0002,53115,2000,4,27.2,Y
IDCJAC0002,53115,2000,5,22,Y
IDCJAC0002,53115,2000,6,18.4,Y
IDCJAC0002,53115,2000,7,18.7,Y
IDCJAC0002,53115,2000,8,20.3,Y
IDCJAC0002,53115,2000,9,28.1,Y
IDCJAC0002,53115,2000,10,27,Y
IDCJAC0002,53115,2000,11,27.2,Y
IDCJAC0002,53115,2000,12,32.3,Y
IDCJAC0002,53115,2001,1,34.7,Y
IDCJAC0002,53115,2001,2,32.3,Y
IDCJAC0002,53115,2001,3,30,Y
IDCJAC0002,53115,2001,4,27.4,Y
IDCJAC0002,53115,2001,5,21.8,Y
IDCJAC0002,53115,2001,6,20.7,Y
IDCJAC0002,53115,2001,7,18.4,Y
IDCJAC0002,53115,2001,8,19.5,Y
IDCJAC0002,53115,2001,9,23.8,Y
IDCJAC0002,53115,2001,10,25.6,Y
IDCJAC0002,53115,2001,11,28.1,Y
IDCJAC0002,53115,2001,12,32.4,Y
IDCJAC0002,53115,2002,1,34.7,Y
IDCJAC0002,53115,2002,2,32.9,Y
IDCJAC0002,53115,2002,3,32.3,Y
IDCJAC0002,53115,2002,4,28,Y
IDCJAC0002,53115,2002,5,22.8,Y
IDCJAC0002,53115,2002,6,19.7,Y
IDCJAC0002,53115,2002,7,19.7,Y
IDCJAC0002,53115,2002,8,21.9,Y
IDCJAC0002,53115,2002,9,25.7,Y
IDCJAC0002,53115,2002,10,30.4,Y
IDCJAC0002,53115,2002,11,33.8,Y
IDCJAC0002,53115,2002,12,33.4,Y
IDCJAC0002,53115,2003,1,36,Y
IDCJAC0002,53115,2003,2,32.8,Y
IDCJAC0002,53115,2003,3,29.4,Y
IDCJAC0002,53115,2003,4,24.9,Y
IDCJAC0002,53115,2003,5,23.1,Y
IDCJAC0002,53115,2003,6,19.6,Y
IDCJAC0002,53115,2003,7,17.9,Y
IDCJAC0002,53115,2003,8,19.3,Y
IDCJAC0002,53115,2003,9,25.9,Y
IDCJAC0002,53115,2003,10,25.7,Y
IDCJAC0002,53115,2003,11,30.8,Y
IDCJAC0002,53115,2003,12,34.3,Y
IDCJAC0002,53115,2004,1,33.4,Y
IDCJAC0002,53115,2004,2,35.1,Y
IDCJAC0002,53115,2004,3,30.4,Y
IDCJAC0002,53115,2004,4,28.2,Y
IDCJAC0002,53115,2004,5,22,Y
IDCJAC0002,53115,2004,6,19.5,Y
IDCJAC0002,53115,2004,7,18.6,Y
IDCJAC0002,53115,2004,8,20.5,Y
IDCJAC0002,53115,2004,9,23.4,Y
IDCJAC0002,53115,2004,10,28.7,Y
IDCJAC0002,53115,2004,11,30.1,Y
IDCJAC0002,53115,2004,12,30.5,Y
IDCJAC0002,53115,2005,1,34,Y
IDCJAC0002,53115,2005,2,34.3,Y
IDCJAC0002,53115,2005,3,31,Y
IDCJAC0002,53115,2005,4,30,Y
IDCJAC0002,53115,2005,5,22.9,Y
IDCJAC0002,53115,2005,6,19.1,Y
IDCJAC0002,53115,2005,7,18.6,Y
IDCJAC0002,53115,2005,8,20,Y
IDCJAC0002,53115,2005,9,24,Y
IDCJAC0002,53115,2005,10,29.6,Y
IDCJAC0002,53115,2005,11,30.7,Y
IDCJAC0002,53115,2005,12,35.2,Y
IDCJAC0002,53115,2006,1,35.6,Y
IDCJAC0002,53115,2006,2,34,Y
IDCJAC0002,53115,2006,3,30.9,Y
IDCJAC0002,53115,2006,4,26.7,Y
IDCJAC0002,53115,2006,5,22,Y
IDCJAC0002,53115,2006,6,18.9,Y
IDCJAC0002,53115,2006,7,18.3,Y
IDCJAC0002,53115,2006,8,21.2,Y
IDCJAC0002,53115,2006,9,25.3,Y
IDCJAC0002,53115,2006,10,29.9,Y
IDCJAC0002,53115,2006,11,32,Y
IDCJAC0002,53115,2006,12,32.1,Y
IDCJAC0002,53115,2007,1,35.1,Y
IDCJAC0002,53115,2007,2,34.4,Y
IDCJAC0002,53115,2007,3,32.7,Y
IDCJAC0002,53115,2007,4,28.3,Y
IDCJAC0002,53115,2007,5,23.9,Y
IDCJAC0002,53115,2007,6,15.5,Y
IDCJAC0002,53115,2007,7,16.7,Y
