,bullocks_200-249kg,bullocks_250-299kg,bullocks_300-349kg,bullocks_350-399kg,bullocks_400-449kg,bullocks_450-499kg,bullocks_500-549kg,bullocks_550kg+,heifers_200-249kg,heifers_250-299kg,heifers_300-349kg,heifers_350-399kg,heifers_400-449kg,target_cattle,feeding_stuffs,fertilisers,cereals,compound_feeding_stuffs_for_cattle_excluding_calves,compound_feeding_stuffs_for_pigs,compound_feeding_stuffs_for_poultry,npk_fertilisers,pk_fertilisers,electricity,motor_fuel,cattle,milk,other_goods_and_services,pigs,plant_protection_products,potatoes,poultry,seeds,sheep,straight_feeding_stuffs,straight_fertilisers,crop_output,vegetables,veterinary_expenses,cents_per_kg,eurgbp,eurusd,pbeefusdm,sunshine,rain,temp,petrol,diesel,brent_price,crude_price,all_items,food_and_non-alcoholic_beverages,ale_draught_bar_1_pint,best_back_rashers_per_kg,brandy_take_home_70cl_bottle,broccoli_per_kg,butter_per_lb,carrots_per_kg,cooked_ham_per_kg,diesel_per_ltr,ham_fillet_per_kg,irish_cheddar_per_kg,jam_per_lb,lamb_gigot_chops_per_kg,lamb_loin_chops_per_kg,lambs_liver_per_kg,marmalade_per_lb,mushrooms_per_kg,onions_per_kg,petrol_unleaded_per_ltr,pork_loin_chops_per_kg,pork_sausages_per_kg,pork_steak_per_kg,potatoes_10_kg,sherry_take_home_75cl_bottle,sirloin_steak_per_kg,stout_draught_bar_1_pint,tomatoes_per_kg,vodka_take_home_70cl_bottle,whiskey_take_home_70cl_bottle
1999-01-31,136.83,139.73,133.33,131.07,127.16,120.83,121.28,119.78,83.25,85.06,99.08,106.29,116.52,116.93923076923076,65.46761952533332,47.219083585669345,73.54470373982333,67.92805580931555,59.91438238567434,62.43218444672575,47.20941881720148,46.948938150713275,49.212938937804246,38.71420648812613,52.09375705060949,108.3274153915296,61.616066511042156,63.2973035588131,97.65878379820305,89.778928238805,65.02862873128966,72.41564265895285,48.39159678811876,68.39421385126546,45.75869491881914,76.99995404569518,73.5954408621634,69.8525714920084,90.7439892,0.6906,1.1366,77.5999984741211,5.8,122.6,6.7,72.38,72.01599999999999,11.11,12.49,69.7,88.4,2.7051,7.912100000000001,23.3807,2.41173,2.0193000000000003,0.9525,11.05789,0.67183,7.06628,7.45871,1.33731,6.642100000000001,9.75614,4.22529,1.3462,3.8417499999999998,0.79248,0.7048500000000001,6.83387,3.9204900000000005,10.11682,6.99516,10.01776,10.421619999999999,2.6619200000000003,2.3647400000000003,15.45209,17.317719999999998
1999-02-28,143.8,140.1,130.93,126.85,122.36,121.99,118.89,122.6,72.94,99.15,96.2,116.09,123.06,118.07384615384616,65.53511191659655,47.5722177577844,73.54470373982333,68.13988966319077,60.532693865402656,62.36886580124226,47.508844306528346,47.441065384997486,49.212938937804246,39.12172445115904,52.58578781377935,106.24619703626486,61.944510362380335,62.67760967781773,97.65878379820305,90.22411300693132,64.74278860499827,72.41564265895285,55.43152764458166,66.6369113371014,46.161411705783436,77.48862102513296,74.41069750816925,69.92610051463157,89.06675,0.688,1.1025,81.825,7.7,78.0,7.8,73.13499999999999,71.652,10.27,12.02,70.1,88.9,2.7063699999999997,8.04164,23.39213,2.3749000000000002,2.02184,1.0147300000000001,11.113769999999999,0.6680200000000001,7.019290000000001,7.66699,1.3627099999999999,6.8326,9.67867,4.25704,1.35001,3.9560500000000003,0.8153400000000001,0.7048500000000001,6.92023,3.8862,10.05459,7.10311,10.18159,10.53465,2.6619200000000003,2.29743,15.4686,17.31645
1999-03-31,146.38,133.37,126.74,121.88,121.34,120.37,123.38,120.78,88.66,92.56,112.14,122.24,126.91,119.75000000000001,65.73758909038625,47.52177001891083,73.54470373982333,68.2811122324409,60.22353812553849,62.62214038317624,47.508844306528346,47.441065384997486,49.212938937804246,39.93676037722485,55.722483928987245,103.43655225665749,62.27295421371851,65.06785750451417,97.65878379820305,90.22411300693132,65.74322904701813,72.41564265895285,62.7885725035879,68.39421385126546,46.06073250904236,77.27919231965964,74.18835478653128,70.2937456277474,94.8205,0.6686,1.077,81.5,9.9,53.1,8.2,73.89,71.288,12.51,14.68,70.3,89.1,2.70891,8.05815,23.40102,2.23774,2.02057,1.0261600000000002,11.08583,0.66929,7.145020000000001,7.4637899999999995,1.36779,7.20852,9.98601,4.22783,1.35636,3.95478,0.8763,0.7010400000000001,7.21741,3.89382,9.99236,7.067550000000001,10.209529999999999,10.419080000000001,2.6619200000000003,2.1082,15.46098,17.31645
1999-04-30,141.2,131.58,121.23,119.14,120.69,124.75,122.41,122.15,76.94,115.5,120.22,127.67,131.58,121.15846153846154,65.80508148164948,47.219083585669345,73.54470373982333,67.99866709394063,60.780018457293984,62.74877767414322,47.259323065422635,47.39185266156906,49.212938937804246,41.857916488665694,57.81361467245918,101.45939481915597,62.667086835324326,66.21871756921985,97.27239889692432,85.87119527414076,65.95760914173665,72.41564265895285,63.54964610969201,68.60509015296515,45.607676123707506,75.60376267587296,71.66847060796778,70.66139074086323,96.882,0.6567,1.057,79.1111111111111,13.2,66.9,10.4,74.64500000000001,70.924,15.29,17.3,70.7,89.5,2.7304999999999997,7.92734,23.426420000000004,2.15773,2.02565,1.11252,11.23315,0.6883400000000001,7.047230000000001,7.48538,1.3614400000000002,7.631430000000001,10.760710000000001,4.33197,1.34874,3.95732,0.92964,0.72644,7.18693,3.90017,9.81202,6.9215,10.240010000000002,10.659110000000002,2.6924,2.35077,15.42796,17.32788
1999-05-31,136.09,122.94,116.59,121.77,123.92,122.61,124.88,121.3,114.15,121.35,126.47,129.93,137.58,124.58307692307692,65.87257387291271,47.219083585669345,73.54470373982333,68.2811122324409,61.15100534513097,62.558821737692746,47.30922731364377,47.441065384997486,49.212938937804246,42.49830185914598,57.38308775468555,101.04315114810301,63.258285767733035,67.2810499366405,97.27239889692432,79.63860852037249,66.24344926802804,72.41564265895285,69.89192616055946,68.32392175069891,45.506996926966444,74.69623828548853,72.70606997561157,70.66139074086323,105.00718320000001,0.6502,1.0423,79.85,14.2,84.4,13.3,75.4,70.56,15.23,17.77,71.0,89.9,2.77495,8.1026,23.57628,2.12725,2.02057,1.15062,11.21918,0.7048500000000001,7.1628,7.4536299999999995,1.3614400000000002,7.8854299999999995,11.277600000000001,4.37007,1.34874,3.95732,0.8839199999999999,0.74676,7.30631,3.92303,10.02411,6.83387,10.21715,10.78738,2.73558,2.1336,15.5448,17.63776
1999-06-30,119.79,118.59,120.15,122.65,120.41,125.64,125.3,127.24,121.22,124.38,129.69,137.04,139.94,125.54153846153847,65.94006626417594,47.067740369048614,73.54470373982333,68.21050094781582,60.594525013375474,63.065370901560705,47.15951456898034,47.39185266156906,49.212938937804246,42.20721759983676,58.73617235340268,100.93909023033977,63.06121945693013,71.88449019546327,96.98261022096526,55.4502361188432,64.74278860499827,72.41564265895285,64.0570285137614,68.81596645466486,45.305638533484284,68.83223453223522,68.6297867455824,70.66139074086323,103.40125,0.6565,1.0357,79.9347826086957,12.2,56.3,13.8,76.435,71.245,15.86,17.92,71.2,90.5,2.7813,8.077200000000001,23.65502,2.37744,2.02057,1.38811,11.27506,0.7048500000000001,7.0611999999999995,7.47522,1.35255,7.56793,11.43762,4.36245,1.35001,3.94462,1.07823,0.75184,7.05358,3.91795,10.077449999999999,6.706869999999999,10.21334,10.878820000000001,2.7317699999999996,1.8923,15.64259,17.77111
1999-07-31,119.62,122.08,120.02,119.42,125.6,126.0,126.34,130.85,120.31,129.17,135.02,140.5,137.06,127.07615384615384,65.80508148164948,46.916397152427884,73.54470373982333,67.78683324006542,60.47086271742981,63.255326838011186,47.00980182431691,47.34263993814064,49.212938937804246,45.176277044790794,58.182637744836576,100.31472472376038,63.06121945693013,77.55026282170667,96.98261022096526,65.3926959403307,66.24344926802804,72.41564265895285,55.3046820435643,69.94064006372986,44.953261344890514,71.48499813489744,70.85321396196194,70.7349197634864,112.67,0.6603,1.0707,81.595380952381,14.4,49.7,17.4,77.47,71.93,19.08,20.1,71.0,90.1,2.77876,8.274049999999999,23.70709,2.42189,2.00914,1.27254,11.28014,0.71247,7.07263,7.4917300000000004,1.38938,7.297420000000001,10.979149999999999,4.36499,1.35509,3.9763699999999997,1.16459,0.76327,7.36346,3.9242999999999997,9.50087,5.85216,10.25652,10.91438,2.73685,1.92278,15.722600000000002,17.865090000000002
1999-08-31,120.66,124.17,117.08,120.24,128.93,128.36,129.87,134.45,125.81,134.06,141.54,137.21,137.16,129.19538461538463,65.60260430785978,46.81550167468073,77.85338335286349,67.71622195544036,60.28536927351132,62.93873361059371,46.95989757609576,47.244214491283806,49.212938937804246,45.70022871154739,56.52203391913828,102.18782124349863,63.389663308268304,76.66498584885615,96.98261022096526,41.1053935903289,64.24256838398836,72.41564265895285,50.61139480592236,68.95655065579798,44.80224254977891,69.46052064865523,74.11424054598528,70.7349197634864,111.722,0.6587,1.0564,88.3295454545455,12.2,60.6,16.8,78.505,72.61500000000001,20.22,21.28,71.4,90.3,2.7825699999999998,8.2931,23.71979,2.46253,2.02184,1.1684,11.48461,0.73152,7.1564499999999995,7.52729,1.4008099999999999,6.95833,11.070590000000001,4.35864,1.35509,4.00939,1.1391900000000001,0.78232,7.409179999999999,3.95732,9.996170000000001,6.512560000000001,10.21207,10.91819,2.73939,2.06375,15.739110000000002,17.865090000000002
1999-09-30,123.1,119.38,125.61,125.85,130.4,133.28,136.29,136.8,134.83,142.21,137.08,137.44,132.6,131.91307692307691,65.80508148164948,46.714606196933566,77.85338335286349,68.0692783785657,60.28536927351132,63.19200819252768,46.86008907965349,47.441065384997486,49.212938937804246,47.15565000809349,56.09150700136465,102.18782124349863,63.323974538000684,78.16995670270205,96.98261022096526,45.40884634888319,64.45694847870689,72.41564265895285,48.89897919218815,68.67538225353172,44.651223754667285,69.53033021714633,71.74258484851377,70.7349197634864,113.9680165,0.6485,1.0684,86.4772727272727,8.0,150.1,15.2,79.54,73.3,22.54,23.79,71.6,89.8,2.7876499999999997,8.42391,23.71598,2.3164800000000003,2.02692,1.0172700000000001,11.53795,0.7378699999999999,7.27329,7.68985,1.4008099999999999,6.51764,10.44829,4.32308,1.3665200000000002,4.00939,1.03505,0.80899,7.4625200000000005,3.95732,10.0711,5.68452,10.378440000000001,10.921999999999999,2.74447,2.10693,15.748000000000001,17.87779
1999-10-31,115.99,134.75,129.47,134.91,138.99,138.43,138.53,143.91,138.86,139.68,137.91,131.65,130.41,134.88384615384618,65.80508148164948,46.76505393580715,77.85338335286349,68.21050094781582,60.16170697756566,63.19200819252768,46.95989757609576,47.34263993814064,49.212938937804246,47.85425223043561,55.47646854740231,102.50000399678834,63.455352078535945,76.39940275700098,96.98261022096526,37.69231036802723,64.81424863657112,71.70914858423136,47.630523182014656,67.83187704673297,44.701563353037834,68.20394841581523,72.03904181069771,70.88197780873274,110.2558,0.6419,1.0551,84.6428571428571,9.7,57.9,11.6,80.575,73.985,22.0,22.67,71.7,89.6,2.78892,8.29945,23.724870000000003,2.36728,2.03327,0.89281,11.54811,0.74549,7.02183,7.76986,1.4008099999999999,6.729730000000001,10.55878,4.38912,1.3690600000000002,3.98526,0.93345,0.81026,7.3406,3.9928800000000004,9.93394,5.3467,10.44956,10.88517,2.74701,2.42062,15.76705,17.91081
