"Statistic","Month","Agricultural Product","UNIT","VALUE"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Agricultural output price index","Base 2015=100","114.6"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Crop output","Base 2015=100","102.72"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Cereals including seeds","Base 2015=100","111.31"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Fruit and Vegetables","Base 2015=100","99.06"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Potatoes including seeds","Base 2015=100","91.51"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Animal output","Base 2015=100","116.16"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Animals","Base 2015=100","95.65"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Cattle","Base 2015=100","93.54"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Cattle excluding calves","Base 2015=100","93.52"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Calves","Base 2015=100","96.07"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Pigs","Base 2015=100","108.1"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Sheep","Base 2015=100","85.45"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Poultry","Base 2015=100","103.67"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Animal products","Base 2015=100","147.09"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Milk","Base 2015=100","148.6"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Eggs","Base 2015=100","105.29"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Wool","Base 2015=100","77.03"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Agricultural input price index","Base 2015=100","106.42"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Seeds","Base 2015=100","113.18"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Energy","Base 2015=100","114.11"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Electricity","Base 2015=100","99.43"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Motor fuel","Base 2015=100","119.52"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Lubricants","Base 2015=100","98.88"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Fertilisers","Base 2015=100","99.56"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Straight fertilisers","Base 2015=100","98.74"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Compound fertilisers","Base 2015=100","100.37"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","PK fertilisers","Base 2015=100","102.3"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","NPK fertilisers","Base 2015=100","100.33"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Other fertilisers","Base 2015=100","94.29"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Plant protection products","Base 2015=100","99.9"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Veterinary expenses","Base 2015=100","99.15"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Feeding stuffs","Base 2015=100","115.02"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Straight feeding stuffs","Base 2015=100","116.24"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Compound feeding stuffs","Base 2015=100","114.96"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Compound feeding stuffs for calves","Base 2015=100","112.15"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Compound feeding stuffs for cattle excluding calves","Base 2015=100","111.83"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Compound feeding stuffs for pigs","Base 2015=100","119.32"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Compound feeding stuffs for poultry","Base 2015=100","121.5"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Other compound feeding stuffs","Base 2015=100","109.75"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Maintenance of materials and buildings","Base 2015=100","94.23"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M01","Other goods and services","Base 2015=100","100.14"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Agricultural output price index","Base 2015=100","113.27"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Crop output","Base 2015=100","102.17"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Cereals including seeds","Base 2015=100","111.31"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Fruit and Vegetables","Base 2015=100","99.13"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Potatoes including seeds","Base 2015=100","88.18"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Animal output","Base 2015=100","114.73"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Animals","Base 2015=100","94.15"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Cattle","Base 2015=100","91.61"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Cattle excluding calves","Base 2015=100","91.81"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Calves","Base 2015=100","57.01"
"Agricultural Input and Output Price Indices (Base 2015=100)","2014M02","Pigs","Base 2015=100","105.8"
