"Statistic","Month","Type of Cattle","UNIT","VALUE"
"Cattle Price per 100 Kg","1976M01","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","1976M01","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","1976M01","Bullocks 300-349kg","Euro","67.88"
"Cattle Price per 100 Kg","1976M01","Bullocks 350-399kg","Euro","72.34"
"Cattle Price per 100 Kg","1976M01","Bullocks 400-449kg","Euro","71.49"
"Cattle Price per 100 Kg","1976M01","Bullocks 450-499kg","Euro","71.49"
"Cattle Price per 100 Kg","1976M01","Bullocks 500-549kg","Euro","68.93"
"Cattle Price per 100 Kg","1976M01","Bullocks 550kg+","Euro","66.08"
"Cattle Price per 100 Kg","1976M01","Heifers 200-249kg","Euro",""
"Cattle Price per 100 Kg","1976M01","Heifers 250-299kg","Euro",""
"Cattle Price per 100 Kg","1976M01","Heifers 300-349kg","Euro","67.08"
"Cattle Price per 100 Kg","1976M01","Heifers 350-399kg","Euro","66.81"
"Cattle Price per 100 Kg","1976M01","Heifers 400-449kg","Euro","73.09"
"Cattle Price per 100 Kg","1976M01","Cows for slaughter","Euro","51.15"
"Cattle Price per 100 Kg","1976M02","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","1976M02","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","1976M02","Bullocks 300-349kg","Euro","72.18"
"Cattle Price per 100 Kg","1976M02","Bullocks 350-399kg","Euro","71.05"
"Cattle Price per 100 Kg","1976M02","Bullocks 400-449kg","Euro","73.04"
"Cattle Price per 100 Kg","1976M02","Bullocks 450-499kg","Euro","71.6"
"Cattle Price per 100 Kg","1976M02","Bullocks 500-549kg","Euro","66.69"
"Cattle Price per 100 Kg","1976M02","Bullocks 550kg+","Euro","67.98"
"Cattle Price per 100 Kg","1976M02","Heifers 200-249kg","Euro",""
"Cattle Price per 100 Kg","1976M02","Heifers 250-299kg","Euro",""
"Cattle Price per 100 Kg","1976M02","Heifers 300-349kg","Euro","65.43"
"Cattle Price per 100 Kg","1976M02","Heifers 350-399kg","Euro","73.91"
"Cattle Price per 100 Kg","1976M02","Heifers 400-449kg","Euro","73.76"
"Cattle Price per 100 Kg","1976M02","Cows for slaughter","Euro","56.3"
"Cattle Price per 100 Kg","1976M03","Bullocks 200-249kg","Euro",""
"Cattle Price per 100 Kg","1976M03","Bullocks 250-299kg","Euro",""
"Cattle Price per 100 Kg","1976M03","Bullocks 300-349kg","Euro","71.18"
"Cattle Price per 100 Kg","1976M03","Bullocks 350-399kg","Euro","74.41"
