"Statistic","Month","Type of Feedstuff","UNIT","VALUE"
"Feed Stuff Price","2014M01","Rolled barley","Euro per Tonne","257"
"Feed Stuff Price","2014M01","Soya bean meal","Euro per Tonne","479"
"Feed Stuff Price","2014M01","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2014M01","Maize meal","Euro per Tonne","252"
"Feed Stuff Price","2014M01","Flaked maize","Euro per Tonne","369"
"Feed Stuff Price","2014M01","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M01","Pig fattening meal (13-15% protein)","Euro per Tonne","344"
"Feed Stuff Price","2014M01","Sow breeder (14-16% protein)","Euro per Tonne","313"
"Feed Stuff Price","2014M01","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M01","Calf nuts and cubes (16-18% protein)","Euro per Tonne","329"
"Feed Stuff Price","2014M01","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M01","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M01","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","294"
"Feed Stuff Price","2014M01","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","302"
"Feed Stuff Price","2014M01","Dairy meal (16-18% protein)","Euro per Tonne","300"
"Feed Stuff Price","2014M01","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M01","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M01","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M01","Layers' mash (14-16% protein)","Euro per Tonne","379"
"Feed Stuff Price","2014M01","Broiler starter (22-24% protein)","Euro per Tonne","539"
"Feed Stuff Price","2014M01","Broiler finisher (19-21% protein)","Euro per Tonne","486"
"Feed Stuff Price","2014M01","Milk replacer","Euro per Tonne","2201"
"Feed Stuff Price","2014M01","Wheat","Euro per Tonne","212"
"Feed Stuff Price","2014M01","Ewe feed coarse (16-20% protein)","Euro per Tonne","297"
"Feed Stuff Price","2014M01","Ewe pellets/nuts (16-20%)","Euro per Tonne","296"
"Feed Stuff Price","2014M01","Lamb feed (16-20% protein)","Euro per Tonne","317"
"Feed Stuff Price","2014M01","Cattle fattening meal (13-15% protein)","Euro per Tonne","296"
"Feed Stuff Price","2014M02","Rolled barley","Euro per Tonne","248"
"Feed Stuff Price","2014M02","Soya bean meal","Euro per Tonne","480"
"Feed Stuff Price","2014M02","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2014M02","Maize meal","Euro per Tonne","248"
"Feed Stuff Price","2014M02","Flaked maize","Euro per Tonne","369"
"Feed Stuff Price","2014M02","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M02","Pig fattening meal (13-15% protein)","Euro per Tonne","344"
"Feed Stuff Price","2014M02","Sow breeder (14-16% protein)","Euro per Tonne","313"
"Feed Stuff Price","2014M02","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M02","Calf nuts and cubes (16-18% protein)","Euro per Tonne","329"
"Feed Stuff Price","2014M02","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M02","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M02","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","294"
"Feed Stuff Price","2014M02","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","303"
"Feed Stuff Price","2014M02","Dairy meal (16-18% protein)","Euro per Tonne","303"
"Feed Stuff Price","2014M02","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M02","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M02","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M02","Layers' mash (14-16% protein)","Euro per Tonne","378"
"Feed Stuff Price","2014M02","Broiler starter (22-24% protein)","Euro per Tonne","535"
"Feed Stuff Price","2014M02","Broiler finisher (19-21% protein)","Euro per Tonne","500"
"Feed Stuff Price","2014M02","Milk replacer","Euro per Tonne","2218"
"Feed Stuff Price","2014M02","Wheat","Euro per Tonne","210"
"Feed Stuff Price","2014M02","Ewe feed coarse (16-20% protein)","Euro per Tonne","305"
"Feed Stuff Price","2014M02","Ewe pellets/nuts (16-20%)","Euro per Tonne","296"
"Feed Stuff Price","2014M02","Lamb feed (16-20% protein)","Euro per Tonne","321"
"Feed Stuff Price","2014M02","Cattle fattening meal (13-15% protein)","Euro per Tonne","296"
"Feed Stuff Price","2014M03","Rolled barley","Euro per Tonne","230"
"Feed Stuff Price","2014M03","Soya bean meal","Euro per Tonne","472"
"Feed Stuff Price","2014M03","Barley meal","Euro per Tonne","."
"Feed Stuff Price","2014M03","Maize meal","Euro per Tonne","244"
"Feed Stuff Price","2014M03","Flaked maize","Euro per Tonne","309"
"Feed Stuff Price","2014M03","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M03","Pig fattening meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M03","Sow breeder (14-16% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M03","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M03","Calf nuts and cubes (16-18% protein)","Euro per Tonne","305"
"Feed Stuff Price","2014M03","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M03","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M03","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","280"
"Feed Stuff Price","2014M03","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","288"
"Feed Stuff Price","2014M03","Dairy meal (16-18% protein)","Euro per Tonne","290"
"Feed Stuff Price","2014M03","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M03","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M03","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M03","Layers' mash (14-16% protein)","Euro per Tonne","350"
"Feed Stuff Price","2014M03","Broiler starter (22-24% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M03","Broiler finisher (19-21% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M03","Milk replacer","Euro per Tonne","2233"
"Feed Stuff Price","2014M03","Wheat","Euro per Tonne","212"
"Feed Stuff Price","2014M03","Ewe feed coarse (16-20% protein)","Euro per Tonne","281"
"Feed Stuff Price","2014M03","Ewe pellets/nuts (16-20%)","Euro per Tonne","284"
"Feed Stuff Price","2014M03","Lamb feed (16-20% protein)","Euro per Tonne","308"
"Feed Stuff Price","2014M03","Cattle fattening meal (13-15% protein)","Euro per Tonne","281"
"Feed Stuff Price","2014M04","Rolled barley","Euro per Tonne","220"
"Feed Stuff Price","2014M04","Soya bean meal","Euro per Tonne","483"
"Feed Stuff Price","2014M04","Barley meal","Euro per Tonne","233"
"Feed Stuff Price","2014M04","Maize meal","Euro per Tonne","233"
"Feed Stuff Price","2014M04","Flaked maize","Euro per Tonne","296"
"Feed Stuff Price","2014M04","Pig grower (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M04","Pig fattening meal (13-15% protein)","Euro per Tonne","310"
"Feed Stuff Price","2014M04","Sow breeder (14-16% protein)","Euro per Tonne","313"
"Feed Stuff Price","2014M04","Sow, weaner and 'bonham' meal (16-17.5% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M04","Calf nuts and cubes (16-18% protein)","Euro per Tonne","313"
"Feed Stuff Price","2014M04","Calf meal (16-18% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M04","Calf nuts and cubes (14-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M04","Cattle fattening nuts and cubes (13-15% protein)","Euro per Tonne","283"
"Feed Stuff Price","2014M04","Dairy nuts and cubes (16-18% protein)","Euro per Tonne","289"
"Feed Stuff Price","2014M04","Dairy meal (16-18% protein)","Euro per Tonne","276"
"Feed Stuff Price","2014M04","Dairy nuts and cubes (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M04","Dairy meal (13-15% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M04","Chick mash (18-20% protein)","Euro per Tonne","."
"Feed Stuff Price","2014M04","Layers' mash (14-16% protein)","Euro per Tonne","."
