date,petrol,diesel
31/01/1994,67.3,
28/02/1994,66.28,68.31
31/03/1994,71.8,68.38
30/04/1994,69.58,68.44
31/05/1994,71.11,68.77
30/06/1994,72.63,68.44
31/07/1994,73,68.44
31/08/1994,71.07,68.82
30/09/1994,73.47,68.67
31/10/1994,71.5,68.22
30/11/1994,70.9,67.8
31/12/1994,70.65,67.79
31/01/1995,70.98,67.74
28/02/1995,70.15,67.55
31/03/1995,70.36,67.69
30/04/1995,70.55,67.61
31/05/1995,71.85,67.88
30/06/1995,73.04,68.79
31/07/1995,72.84,68.72
31/08/1995,71.61,68.13
30/09/1995,71.23,68.3
31/10/1995,71.57,68.82
30/11/1995,71.09,68.68
31/12/1995,71.27,68.31
31/01/1996,71.09,69.62
29/02/1996,71.87,70.67
31/03/1996,70.46,70.46
30/04/1996,72.93,71.6
31/05/1996,74.29,71.51
30/06/1996,72.12,70.71
31/07/1996,72.25,70.74
31/08/1996,73.16,70.94
30/09/1996,74.01,71.38
31/10/1996,75.18,73.07
30/11/1996,75.63,74.27
31/12/1996,75.09,74.62
31/01/1997,74.83,75.17
28/02/1997,75.69,76.08
31/03/1997,76.2,75.44
30/04/1997,77.04,74.9
31/05/1997,76.7,73.78
30/06/1997,77.39,74.52
31/07/1997,77.45,74.34
31/08/1997,77.18,73.59
30/09/1997,79.63,75.14
31/10/1997,79.96,74.1
30/11/1997,78.83,75.09
31/12/1997,78.94,75.33
31/01/1998,77.06,74.56
28/02/1998,75.9,71.71
31/03/1998,74.48,70.8
30/04/1998,,
31/05/1998,,
30/06/1998,,
31/07/1998,,
31/08/1998,,
30/09/1998,,
31/10/1998,,
30/11/1998,,
31/12/1998,71.56,72.38
31/01/1999,72.38,
28/02/1999,,
31/03/1999,,
30/04/1999,,
31/05/1999,75.4,70.56
30/06/1999,,
31/07/1999,,
31/08/1999,,
30/09/1999,,
31/10/1999,,
30/11/1999,81.61,74.67
31/12/1999,,
31/01/2000,82.79,78.22
29/02/2000,84.56,81.75
31/03/2000,91.88,84.95
30/04/2000,92.82,85.33
31/05/2000,93.2,85.33
30/06/2000,94.24,85.15
31/07/2000,97.5,85.8
31/08/2000,94.7,85.5
30/09/2000,93.9,87.9
