"Statistic","Year","Sector","Fuel Type","UNIT","VALUE"
"Fuel Consumption (ktoe)","1990","Agricultural","Sum of all coal products","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Bituminous coal","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Anthracite and manufactured ovoids","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Coke","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Lignite","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Sum of all peat products","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Milled peat","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Sod peat","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Briquettes","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Sum of all petroleum products","ktoe","215"
"Fuel Consumption (ktoe)","1990","Agricultural","Crude oil","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Refinery feedstock","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Refinery gas","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Gasoline","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Kerosene","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Jet kerosene","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Fuel oil","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","LPG","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Gasoil/diesel/DERV","ktoe","215"
"Fuel Consumption (ktoe)","1990","Agricultural","Petroleum coke","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Naphta","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Bitumen","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","White spirit","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Lubricants","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Natural gas","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Sum of all renewable energies","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Hydro","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Wind","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Biomass","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Renewable Waste","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Landfill gas","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Biogas","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Liquid Biofuel","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Biodiesel","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Bioethanol","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Solar","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Solar Photovoltaic","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Solar Thermal","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Ambient Heat","ktoe","0"
"Fuel Consumption (ktoe)","1990","Agricultural","Non renewable waste","ktoe","0"
