"Statistic","Month","Consumer Item","UNIT","VALUE"
"National Average  Price","2001M12","Round steak per kg.","Euro","8.414"
"National Average  Price","2001M12","Sirloin steak per kg.","Euro","12.095"
"National Average  Price","2001M12","Striploin steak per kg.","Euro","16.448"
"National Average  Price","2001M12","Roast beef topside/rib per kg.","Euro","8.726"
"National Average  Price","2001M12","Sliced/diced beef pieces per kg.","Euro","7.041"
"National Average  Price","2001M12","Lamb whole leg per kg.","Euro","10.268"
"National Average  Price","2001M12","Lamb loin chops per kg.","Euro","17.227"
"National Average  Price","2001M12","Lamb gigot chops per kg.","Euro","10.613"
"National Average  Price","2001M12","Lamb pieces incl neck per kg.","Euro","5.066"
"National Average  Price","2001M12","Lambs liver per kg.","Euro","5.135"
"National Average  Price","2001M12","Roast loin of pork per kg.","Euro","9.211"
"National Average  Price","2001M12","Pork loin chops per kg.","Euro","8.92"
"National Average  Price","2001M12","Pork steak per kg.","Euro","11.27"
"National Average  Price","2001M12","Best back rashers per kg.","Euro","9.916"
"National Average  Price","2001M12","Ham fillet per kg.","Euro","8.769"
"National Average  Price","2001M12","Collar bacon per kg.","Euro","6.043"
"National Average  Price","2001M12","Uncooked chicken medium sized 1600g","Euro",""
"National Average  Price","2001M12","Cooked ham per kg.","Euro","13.622"
"National Average  Price","2001M12","Pork sausages per kg.","Euro","4.499"
"National Average  Price","2001M12","Fillet of whiting per kg.","Euro","7.849"
"National Average  Price","2001M12","Cod fillets per kg.","Euro","13.143"
"National Average  Price","2001M12","Salmon steak per kg.","Euro","11.645"
"National Average  Price","2001M12","Fillet of plaice per kg.","Euro","15.093"
"National Average  Price","2001M12","Smoked salmon per kg.","Euro","18.535"
"National Average  Price","2001M12","Tomatoes tinned per 400g","Euro",""
"National Average  Price","2001M12","Potatoes 2.5 kg.","Euro","3.066"
"National Average  Price","2001M12","Potatoes 10 kg.","Euro","5.421"
"National Average  Price","2001M12","Tomatoes per kg.","Euro","2.482"
"National Average  Price","2001M12","Onions per kg.","Euro","1.283"
"National Average  Price","2001M12","Broccoli per kg.","Euro","2.949"
"National Average  Price","2001M12","Carrots per kg.","Euro","1.264"
"National Average  Price","2001M12","Mushrooms per kg.","Euro","3.782"
"National Average  Price","2001M12","Grapes per kg.","Euro","5.278"
"National Average  Price","2001M12","Bananas per kg.","Euro","1.685"
"National Average  Price","2001M12","1 litre full fat milk per ltr.","Euro","0.841"
"National Average  Price","2001M12","2 litre full fat milk per 2 ltr.","Euro",""
"National Average  Price","2001M12","Irish cheddar per kg.","Euro","8.79"
"National Average  Price","2001M12","Butter per lb.","Euro","1.977"
"National Average  Price","2001M12","Large (size 2) eggs per half dozen","Euro",""
"National Average  Price","2001M12","Medium (size 3) eggs per half dozen","Euro",""
"National Average  Price","2001M12","Bread white sliced, large (800g)","Euro","0.995"
"National Average  Price","2001M12","Bread brown sliced, large (800g)","Euro","1.092"
"National Average  Price","2001M12","White, self-raising flour per 2 kgs.","Euro","1.26"
"National Average  Price","2001M12","Brown, wholemeal flour per 2 kgs.","Euro","1.314"
"National Average  Price","2001M12","White granulated sugar per kg.","Euro","1.125"
"National Average  Price","2001M12","Tea bags per 80","Euro","2.458"
"National Average  Price","2001M12","Spaghetti per 500g.","Euro","0.933"
"National Average  Price","2001M12","Jam per lb.","Euro","1.518"
"National Average  Price","2001M12","Marmalade per lb.","Euro","1.48"
"National Average  Price","2001M12","Orange juice per ltr.","Euro","1.583"
"National Average  Price","2001M12","Stout - take home (6 x 250ml)","Euro","6.362"
"National Average  Price","2001M12","Lager - take home (500ml can)","Euro","1.921"
"National Average  Price","2001M12","Lager - take home (tray 12 by 330ml)","Euro",""
"National Average  Price","2001M12","Cider - take home ( 500ml can)","Euro","1.724"
"National Average  Price","2001M12","Whiskey - take home (70cl bottle)","Euro","18.285"
"National Average  Price","2001M12","Brandy - take home (70cl bottle)","Euro","24.35"
"National Average  Price","2001M12","Vodka - take home (70cl bottle)","Euro","16.216"
"National Average  Price","2001M12","Flavoured alcoholic drinks - take home 275ml bottle","Euro",""
"National Average  Price","2001M12","Cream liquer - take home (70cl bottle)","Euro","15.718"
"National Average  Price","2001M12","Sherry - take home (75cl bottle)","Euro","10.906"
"National Average  Price","2001M12","Table wine - take home (75cl bottle)","Euro","9.123"
"National Average  Price","2001M12","Stout - draught bar (1 pint)","Euro","3.062"
"National Average  Price","2001M12","Lager - draught lounge (1/2 pint)","Euro","1.989"
"National Average  Price","2001M12","Lager - draught lounge (1 pint)","Euro","3.373"
"National Average  Price","2001M12","Lager - bottled bar (330ml bottle)","Euro","3.407"
"National Average  Price","2001M12","Cider - draught bar (1 pint)","Euro",""
"National Average  Price","2001M12","Ale - draught bar (1 pint)","Euro","3.099"
"National Average  Price","2001M12","Cider - bar (330ml bottle)","Euro","3.519"
"National Average  Price","2001M12","Flavoured alcoholic drink - bar (275ml bottle)","Euro",""
"National Average  Price","2001M12","Whiskey - bar (single) per 1/2 glass","Euro","2.687"
"National Average  Price","2001M12","Brandy - bar (single) per 1/2 glass","Euro","3.225"
"National Average  Price","2001M12","Vodka - bar (single) per 1/2 glass","Euro","2.717"
"National Average  Price","2001M12","Wine - bar (187 ml bottle)","Euro",""
"National Average  Price","2001M12","Filtered cigarettes per 20 pk.","Euro","4.981"
"National Average  Price","2001M12","Cinema fee","Euro","6.335"
