"Statistic","Month","Meteorological Weather Station","UNIT","VALUE"
"Most Sunshine Hours in a Day","1958M01","Shannon airport","Number","7.1"
"Most Sunshine Hours in a Day","1958M02","Shannon airport","Number","8.8"
"Most Sunshine Hours in a Day","1958M03","Shannon airport","Number","8.7"
"Most Sunshine Hours in a Day","1958M04","Shannon airport","Number","11.9"
"Most Sunshine Hours in a Day","1958M05","Shannon airport","Number","14.1"
"Most Sunshine Hours in a Day","1958M06","Shannon airport","Number","11.8"
"Most Sunshine Hours in a Day","1958M07","Shannon airport","Number","12.2"
"Most Sunshine Hours in a Day","1958M08","Shannon airport","Number","11.5"
"Most Sunshine Hours in a Day","1958M09","Shannon airport","Number","10.1"
"Most Sunshine Hours in a Day","1958M10","Shannon airport","Number","7.3"
"Most Sunshine Hours in a Day","1958M11","Shannon airport","Number","6.3"
"Most Sunshine Hours in a Day","1958M12","Shannon airport","Number","6"
"Most Sunshine Hours in a Day","1959M01","Shannon airport","Number","6.8"
"Most Sunshine Hours in a Day","1959M02","Shannon airport","Number","8.8"
"Most Sunshine Hours in a Day","1959M03","Shannon airport","Number","9.6"
"Most Sunshine Hours in a Day","1959M04","Shannon airport","Number","12.4"
"Most Sunshine Hours in a Day","1959M05","Shannon airport","Number","14.2"
"Most Sunshine Hours in a Day","1959M06","Shannon airport","Number","15.4"
"Most Sunshine Hours in a Day","1959M07","Shannon airport","Number","12.9"
"Most Sunshine Hours in a Day","1959M08","Shannon airport","Number","11.3"
"Most Sunshine Hours in a Day","1959M09","Shannon airport","Number","10.1"
"Most Sunshine Hours in a Day","1959M10","Shannon airport","Number","9.1"
"Most Sunshine Hours in a Day","1959M11","Shannon airport","Number","7.7"
"Most Sunshine Hours in a Day","1959M12","Shannon airport","Number","5.1"
"Most Sunshine Hours in a Day","1960M01","Shannon airport","Number","7.3"
"Most Sunshine Hours in a Day","1960M02","Shannon airport","Number","8.2"
"Most Sunshine Hours in a Day","1960M03","Shannon airport","Number","7.7"
"Most Sunshine Hours in a Day","1960M04","Shannon airport","Number","12.1"
"Most Sunshine Hours in a Day","1960M05","Shannon airport","Number","13.3"
"Most Sunshine Hours in a Day","1960M06","Shannon airport","Number","14.7"
"Most Sunshine Hours in a Day","1960M07","Shannon airport","Number","11.4"
"Most Sunshine Hours in a Day","1960M08","Shannon airport","Number","13.7"
"Most Sunshine Hours in a Day","1960M09","Shannon airport","Number","10.3"
"Most Sunshine Hours in a Day","1960M10","Shannon airport","Number","7.8"
"Most Sunshine Hours in a Day","1960M11","Shannon airport","Number","6.4"
"Most Sunshine Hours in a Day","1960M12","Shannon airport","Number","6"
"Most Sunshine Hours in a Day","1961M01","Shannon airport","Number","5.9"
"Most Sunshine Hours in a Day","1961M02","Shannon airport","Number","6.6"
"Most Sunshine Hours in a Day","1961M03","Shannon airport","Number","9.5"
"Most Sunshine Hours in a Day","1961M04","Shannon airport","Number","12.3"
"Most Sunshine Hours in a Day","1961M05","Shannon airport","Number","13.6"
"Most Sunshine Hours in a Day","1961M06","Shannon airport","Number","12.2"
"Most Sunshine Hours in a Day","1961M07","Shannon airport","Number","13.6"
"Most Sunshine Hours in a Day","1961M08","Shannon airport","Number","13.3"
"Most Sunshine Hours in a Day","1961M09","Shannon airport","Number","9.8"
"Most Sunshine Hours in a Day","1961M10","Shannon airport","Number","9.1"
"Most Sunshine Hours in a Day","1961M11","Shannon airport","Number","8"
"Most Sunshine Hours in a Day","1961M12","Shannon airport","Number","6.1"
"Most Sunshine Hours in a Day","1962M01","Shannon airport","Number","5.3"
"Most Sunshine Hours in a Day","1962M02","Shannon airport","Number","8.6"
"Most Sunshine Hours in a Day","1962M03","Shannon airport","Number","10.4"
"Most Sunshine Hours in a Day","1962M04","Shannon airport","Number","13.6"
"Most Sunshine Hours in a Day","1962M05","Shannon airport","Number","14.8"
"Most Sunshine Hours in a Day","1962M06","Shannon airport","Number","15"
"Most Sunshine Hours in a Day","1962M07","Shannon airport","Number","14.3"
"Most Sunshine Hours in a Day","1962M08","Shannon airport","Number","11.6"
"Most Sunshine Hours in a Day","1962M09","Shannon airport","Number","8.4"
"Most Sunshine Hours in a Day","1962M10","Shannon airport","Number","9.9"
"Most Sunshine Hours in a Day","1962M11","Shannon airport","Number","6.9"
"Most Sunshine Hours in a Day","1962M12","Shannon airport","Number","5.7"
"Most Sunshine Hours in a Day","1963M01","Shannon airport","Number","7"
"Most Sunshine Hours in a Day","1963M02","Shannon airport","Number","8.6"
"Most Sunshine Hours in a Day","1963M03","Shannon airport","Number","11.2"
"Most Sunshine Hours in a Day","1963M04","Shannon airport","Number","12.6"
"Most Sunshine Hours in a Day","1963M05","Shannon airport","Number","13.6"
"Most Sunshine Hours in a Day","1963M06","Shannon airport","Number","14.6"
"Most Sunshine Hours in a Day","1963M07","Shannon airport","Number","12.8"
"Most Sunshine Hours in a Day","1963M08","Shannon airport","Number","9"
"Most Sunshine Hours in a Day","1963M09","Shannon airport","Number","10.4"
"Most Sunshine Hours in a Day","1963M10","Shannon airport","Number","9.3"
"Most Sunshine Hours in a Day","1963M11","Shannon airport","Number","6.8"
"Most Sunshine Hours in a Day","1963M12","Shannon airport","Number","6.7"
"Most Sunshine Hours in a Day","1964M01","Shannon airport","Number","7.6"
"Most Sunshine Hours in a Day","1964M02","Shannon airport","Number","7.8"
"Most Sunshine Hours in a Day","1964M03","Shannon airport","Number","10.4"
"Most Sunshine Hours in a Day","1964M04","Shannon airport","Number","11.8"
"Most Sunshine Hours in a Day","1964M05","Shannon airport","Number","12.1"
"Most Sunshine Hours in a Day","1964M06","Shannon airport","Number","12.9"
"Most Sunshine Hours in a Day","1964M07","Shannon airport","Number","12.1"
"Most Sunshine Hours in a Day","1964M08","Shannon airport","Number","13.1"
"Most Sunshine Hours in a Day","1964M09","Shannon airport","Number","10.2"
"Most Sunshine Hours in a Day","1964M10","Shannon airport","Number","8"
"Most Sunshine Hours in a Day","1964M11","Shannon airport","Number","7.3"
"Most Sunshine Hours in a Day","1964M12","Shannon airport","Number","5.3"
"Most Sunshine Hours in a Day","1965M01","Shannon airport","Number","7.6"
"Most Sunshine Hours in a Day","1965M02","Shannon airport","Number","7.3"
"Most Sunshine Hours in a Day","1965M03","Shannon airport","Number","11.6"
"Most Sunshine Hours in a Day","1965M04","Shannon airport","Number","11.3"
"Most Sunshine Hours in a Day","1965M05","Shannon airport","Number","9.5"
"Most Sunshine Hours in a Day","1965M06","Shannon airport","Number","12.3"
"Most Sunshine Hours in a Day","1965M07","Shannon airport","Number","12.5"
"Most Sunshine Hours in a Day","1965M08","Shannon airport","Number","12.7"
"Most Sunshine Hours in a Day","1965M09","Shannon airport","Number","10.5"
"Most Sunshine Hours in a Day","1965M10","Shannon airport","Number","9.4"
"Most Sunshine Hours in a Day","1965M11","Shannon airport","Number","7.5"
"Most Sunshine Hours in a Day","1965M12","Shannon airport","Number","6.9"
"Most Sunshine Hours in a Day","1966M01","Shannon airport","Number","6.7"
"Most Sunshine Hours in a Day","1966M02","Shannon airport","Number","7.8"
"Most Sunshine Hours in a Day","1966M03","Shannon airport","Number","10.5"
"Most Sunshine Hours in a Day","1966M04","Shannon airport","Number","13.4"
"Most Sunshine Hours in a Day","1966M05","Shannon airport","Number","15.3"
"Most Sunshine Hours in a Day","1966M06","Shannon airport","Number","14.9"
"Most Sunshine Hours in a Day","1966M07","Shannon airport","Number","13.2"
"Most Sunshine Hours in a Day","1966M08","Shannon airport","Number","13.7"
"Most Sunshine Hours in a Day","1966M09","Shannon airport","Number","9"
"Most Sunshine Hours in a Day","1966M10","Shannon airport","Number","9.7"
"Most Sunshine Hours in a Day","1966M11","Shannon airport","Number","8.4"
"Most Sunshine Hours in a Day","1966M12","Shannon airport","Number","5.3"
"Most Sunshine Hours in a Day","1967M01","Shannon airport","Number","6.2"
"Most Sunshine Hours in a Day","1967M02","Shannon airport","Number","6.8"
"Most Sunshine Hours in a Day","1967M03","Shannon airport","Number","10.8"
"Most Sunshine Hours in a Day","1967M04","Shannon airport","Number","13.4"
"Most Sunshine Hours in a Day","1967M05","Shannon airport","Number","14"
"Most Sunshine Hours in a Day","1967M06","Shannon airport","Number","10.8"
"Most Sunshine Hours in a Day","1967M07","Shannon airport","Number","11.3"
"Most Sunshine Hours in a Day","1967M08","Shannon airport","Number","12.6"
"Most Sunshine Hours in a Day","1967M09","Shannon airport","Number","8.6"
"Most Sunshine Hours in a Day","1967M10","Shannon airport","Number","8.4"
"Most Sunshine Hours in a Day","1967M11","Shannon airport","Number","7.5"
"Most Sunshine Hours in a Day","1967M12","Shannon airport","Number","5.6"
"Most Sunshine Hours in a Day","1968M01","Shannon airport","Number","4.7"
"Most Sunshine Hours in a Day","1968M02","Shannon airport","Number","9.3"
"Most Sunshine Hours in a Day","1968M03","Shannon airport","Number","9.6"
"Most Sunshine Hours in a Day","1968M04","Shannon airport","Number","11.4"
"Most Sunshine Hours in a Day","1968M05","Shannon airport","Number","12.9"
"Most Sunshine Hours in a Day","1968M06","Shannon airport","Number","13.8"
"Most Sunshine Hours in a Day","1968M07","Shannon airport","Number","12.1"
"Most Sunshine Hours in a Day","1968M08","Shannon airport","Number","13"
"Most Sunshine Hours in a Day","1968M09","Shannon airport","Number","10.7"
"Most Sunshine Hours in a Day","1968M10","Shannon airport","Number","8.1"
"Most Sunshine Hours in a Day","1968M11","Shannon airport","Number","8.8"
"Most Sunshine Hours in a Day","1968M12","Shannon airport","Number","6.3"
"Most Sunshine Hours in a Day","1969M01","Shannon airport","Number","6.5"
"Most Sunshine Hours in a Day","1969M02","Shannon airport","Number","8.5"
"Most Sunshine Hours in a Day","1969M03","Shannon airport","Number","8"
"Most Sunshine Hours in a Day","1969M04","Shannon airport","Number","12"
"Most Sunshine Hours in a Day","1969M05","Shannon airport","Number","12.3"
"Most Sunshine Hours in a Day","1969M06","Shannon airport","Number","15.4"
"Most Sunshine Hours in a Day","1969M07","Shannon airport","Number","13.7"
"Most Sunshine Hours in a Day","1969M08","Shannon airport","Number","13.9"
"Most Sunshine Hours in a Day","1969M09","Shannon airport","Number","9.8"
"Most Sunshine Hours in a Day","1969M10","Shannon airport","Number","6.6"
"Most Sunshine Hours in a Day","1969M11","Shannon airport","Number","6"
"Most Sunshine Hours in a Day","1969M12","Shannon airport","Number","6.3"
"Most Sunshine Hours in a Day","1970M01","Shannon airport","Number","6.4"
"Most Sunshine Hours in a Day","1970M02","Shannon airport","Number","8.8"
"Most Sunshine Hours in a Day","1970M03","Shannon airport","Number","11.1"
"Most Sunshine Hours in a Day","1970M04","Shannon airport","Number","11.4"
"Most Sunshine Hours in a Day","1970M05","Shannon airport","Number","12.8"
"Most Sunshine Hours in a Day","1970M06","Shannon airport","Number","15.1"
"Most Sunshine Hours in a Day","1970M07","Shannon airport","Number","14.8"
"Most Sunshine Hours in a Day","1970M08","Shannon airport","Number","11.1"
"Most Sunshine Hours in a Day","1970M09","Shannon airport","Number","10.7"
"Most Sunshine Hours in a Day","1970M10","Shannon airport","Number","7.7"
"Most Sunshine Hours in a Day","1970M11","Shannon airport","Number","7"
"Most Sunshine Hours in a Day","1970M12","Shannon airport","Number","6.9"
"Most Sunshine Hours in a Day","1971M01","Shannon airport","Number","6.9"
"Most Sunshine Hours in a Day","1971M02","Shannon airport","Number","8.6"
"Most Sunshine Hours in a Day","1971M03","Shannon airport","Number","10.8"
"Most Sunshine Hours in a Day","1971M04","Shannon airport","Number","12.1"
"Most Sunshine Hours in a Day","1971M05","Shannon airport","Number","12.8"
"Most Sunshine Hours in a Day","1971M06","Shannon airport","Number","14.5"
"Most Sunshine Hours in a Day","1971M07","Shannon airport","Number","15.6"
"Most Sunshine Hours in a Day","1971M08","Shannon airport","Number","13.6"
"Most Sunshine Hours in a Day","1971M09","Shannon airport","Number","11.1"
"Most Sunshine Hours in a Day","1971M10","Shannon airport","Number","8.5"
"Most Sunshine Hours in a Day","1971M11","Shannon airport","Number","8"
"Most Sunshine Hours in a Day","1971M12","Shannon airport","Number","5.6"
"Most Sunshine Hours in a Day","1972M01","Shannon airport","Number","6.7"
"Most Sunshine Hours in a Day","1972M02","Shannon airport","Number","6.5"
