"Statistic","Month","Meteorological Weather Station","UNIT","VALUE"
"Most Sunshine Hours in a Day","1958M01","Rosslare","Number","7.7"
"Most Sunshine Hours in a Day","1958M02","Rosslare","Number","8.5"
"Most Sunshine Hours in a Day","1958M03","Rosslare","Number","9.7"
"Most Sunshine Hours in a Day","1958M04","Rosslare","Number","12.1"
"Most Sunshine Hours in a Day","1958M05","Rosslare","Number","13.2"
"Most Sunshine Hours in a Day","1958M06","Rosslare","Number","15.4"
"Most Sunshine Hours in a Day","1958M07","Rosslare","Number","11.4"
"Most Sunshine Hours in a Day","1958M08","Rosslare","Number","12.6"
"Most Sunshine Hours in a Day","1958M09","Rosslare","Number","10.7"
"Most Sunshine Hours in a Day","1958M10","Rosslare","Number","8.6"
"Most Sunshine Hours in a Day","1958M11","Rosslare","Number","7.8"
"Most Sunshine Hours in a Day","1958M12","Rosslare","Number","6.3"
"Most Sunshine Hours in a Day","1959M01","Rosslare","Number","7.8"
"Most Sunshine Hours in a Day","1959M02","Rosslare","Number","7.9"
"Most Sunshine Hours in a Day","1959M03","Rosslare","Number","10.3"
"Most Sunshine Hours in a Day","1959M04","Rosslare","Number","11.2"
"Most Sunshine Hours in a Day","1959M05","Rosslare","Number","14.5"
"Most Sunshine Hours in a Day","1959M06","Rosslare","Number","15.3"
"Most Sunshine Hours in a Day","1959M07","Rosslare","Number","15.3"
"Most Sunshine Hours in a Day","1959M08","Rosslare","Number","13.1"
"Most Sunshine Hours in a Day","1959M09","Rosslare","Number","12"
"Most Sunshine Hours in a Day","1959M10","Rosslare","Number","9.5"
"Most Sunshine Hours in a Day","1959M11","Rosslare","Number","8"
"Most Sunshine Hours in a Day","1959M12","Rosslare","Number","7.1"
"Most Sunshine Hours in a Day","1960M01","Rosslare","Number","7.3"
"Most Sunshine Hours in a Day","1960M02","Rosslare","Number","9.2"
"Most Sunshine Hours in a Day","1960M03","Rosslare","Number","9.2"
"Most Sunshine Hours in a Day","1960M04","Rosslare","Number","13.2"
"Most Sunshine Hours in a Day","1960M05","Rosslare","Number","14.5"
"Most Sunshine Hours in a Day","1960M06","Rosslare","Number","15.2"
"Most Sunshine Hours in a Day","1960M07","Rosslare","Number","12.6"
"Most Sunshine Hours in a Day","1960M08","Rosslare","Number","14.4"
"Most Sunshine Hours in a Day","1960M09","Rosslare","Number","10.8"
"Most Sunshine Hours in a Day","1960M10","Rosslare","Number","8.7"
"Most Sunshine Hours in a Day","1960M11","Rosslare","Number","8"
"Most Sunshine Hours in a Day","1960M12","Rosslare","Number","7.2"
"Most Sunshine Hours in a Day","1961M01","Rosslare","Number","7"
"Most Sunshine Hours in a Day","1961M02","Rosslare","Number","7.4"
"Most Sunshine Hours in a Day","1961M03","Rosslare","Number","9.9"
"Most Sunshine Hours in a Day","1961M04","Rosslare","Number","13.2"
"Most Sunshine Hours in a Day","1961M05","Rosslare","Number","14.1"
"Most Sunshine Hours in a Day","1961M06","Rosslare","Number","14.4"
"Most Sunshine Hours in a Day","1961M07","Rosslare","Number","14.9"
"Most Sunshine Hours in a Day","1961M08","Rosslare","Number","12"
"Most Sunshine Hours in a Day","1961M09","Rosslare","Number","11.2"
"Most Sunshine Hours in a Day","1961M10","Rosslare","Number","9.7"
"Most Sunshine Hours in a Day","1961M11","Rosslare","Number","8.3"
"Most Sunshine Hours in a Day","1961M12","Rosslare","Number","7.3"
"Most Sunshine Hours in a Day","1962M01","Rosslare","Number","7.2"
"Most Sunshine Hours in a Day","1962M02","Rosslare","Number","9.1"
"Most Sunshine Hours in a Day","1962M03","Rosslare","Number","10.7"
"Most Sunshine Hours in a Day","1962M04","Rosslare","Number","13.4"
"Most Sunshine Hours in a Day","1962M05","Rosslare","Number","14"
"Most Sunshine Hours in a Day","1962M06","Rosslare","Number","15.2"
"Most Sunshine Hours in a Day","1962M07","Rosslare","Number","11.9"
"Most Sunshine Hours in a Day","1962M08","Rosslare","Number","12.4"
"Most Sunshine Hours in a Day","1962M09","Rosslare","Number","10.2"
"Most Sunshine Hours in a Day","1962M10","Rosslare","Number","9.8"
"Most Sunshine Hours in a Day","1962M11","Rosslare","Number","7.7"
"Most Sunshine Hours in a Day","1962M12","Rosslare","Number","7"
"Most Sunshine Hours in a Day","1963M01","Rosslare","Number","7.3"
"Most Sunshine Hours in a Day","1963M02","Rosslare","Number","8.3"
"Most Sunshine Hours in a Day","1963M03","Rosslare","Number","11.5"
"Most Sunshine Hours in a Day","1963M04","Rosslare","Number","11.1"
"Most Sunshine Hours in a Day","1963M05","Rosslare","Number","14.6"
"Most Sunshine Hours in a Day","1963M06","Rosslare","Number","14.1"
"Most Sunshine Hours in a Day","1963M07","Rosslare","Number","14"
"Most Sunshine Hours in a Day","1963M08","Rosslare","Number","10.5"
"Most Sunshine Hours in a Day","1963M09","Rosslare","Number","11.8"
"Most Sunshine Hours in a Day","1963M10","Rosslare","Number","9.7"
"Most Sunshine Hours in a Day","1963M11","Rosslare","Number","7.9"
"Most Sunshine Hours in a Day","1963M12","Rosslare","Number","7"
"Most Sunshine Hours in a Day","1964M01","Rosslare","Number","6.5"
"Most Sunshine Hours in a Day","1964M02","Rosslare","Number","9.8"
"Most Sunshine Hours in a Day","1964M03","Rosslare","Number","10"
"Most Sunshine Hours in a Day","1964M04","Rosslare","Number","11.5"
"Most Sunshine Hours in a Day","1964M05","Rosslare","Number","13.6"
"Most Sunshine Hours in a Day","1964M06","Rosslare","Number","14.9"
"Most Sunshine Hours in a Day","1964M07","Rosslare","Number","14.4"
"Most Sunshine Hours in a Day","1964M08","Rosslare","Number","13"
"Most Sunshine Hours in a Day","1964M09","Rosslare","Number","11.2"
"Most Sunshine Hours in a Day","1964M10","Rosslare","Number","10.2"
"Most Sunshine Hours in a Day","1964M11","Rosslare","Number","8.3"
"Most Sunshine Hours in a Day","1964M12","Rosslare","Number","6.6"
"Most Sunshine Hours in a Day","1965M01","Rosslare","Number","7.1"
"Most Sunshine Hours in a Day","1965M02","Rosslare","Number","7.3"
"Most Sunshine Hours in a Day","1965M03","Rosslare","Number","11.8"
"Most Sunshine Hours in a Day","1965M04","Rosslare","Number","12.6"
"Most Sunshine Hours in a Day","1965M05","Rosslare","Number","14.4"
"Most Sunshine Hours in a Day","1965M06","Rosslare","Number","14.4"
"Most Sunshine Hours in a Day","1965M07","Rosslare","Number","15"
"Most Sunshine Hours in a Day","1965M08","Rosslare","Number","13.4"
"Most Sunshine Hours in a Day","1965M09","Rosslare","Number","11"
"Most Sunshine Hours in a Day","1965M10","Rosslare","Number","9.6"
"Most Sunshine Hours in a Day","1965M11","Rosslare","Number","7.9"
"Most Sunshine Hours in a Day","1965M12","Rosslare","Number","6.6"
"Most Sunshine Hours in a Day","1966M01","Rosslare","Number","6.7"
"Most Sunshine Hours in a Day","1966M02","Rosslare","Number","8.6"
"Most Sunshine Hours in a Day","1966M03","Rosslare","Number","10.9"
"Most Sunshine Hours in a Day","1966M04","Rosslare","Number","12.8"
"Most Sunshine Hours in a Day","1966M05","Rosslare","Number","15.4"
"Most Sunshine Hours in a Day","1966M06","Rosslare","Number","14.6"
"Most Sunshine Hours in a Day","1966M07","Rosslare","Number","15.3"
"Most Sunshine Hours in a Day","1966M08","Rosslare","Number","13.6"
"Most Sunshine Hours in a Day","1966M09","Rosslare","Number","10.5"
"Most Sunshine Hours in a Day","1966M10","Rosslare","Number","9.5"
"Most Sunshine Hours in a Day","1966M11","Rosslare","Number","7.4"
"Most Sunshine Hours in a Day","1966M12","Rosslare","Number","6.8"
"Most Sunshine Hours in a Day","1967M01","Rosslare","Number","6.8"
"Most Sunshine Hours in a Day","1967M02","Rosslare","Number","8.6"
"Most Sunshine Hours in a Day","1967M03","Rosslare","Number","11.5"
"Most Sunshine Hours in a Day","1967M04","Rosslare","Number","12.5"
"Most Sunshine Hours in a Day","1967M05","Rosslare","Number","13.7"
"Most Sunshine Hours in a Day","1967M06","Rosslare","Number","14.9"
"Most Sunshine Hours in a Day","1967M07","Rosslare","Number","13.9"
"Most Sunshine Hours in a Day","1967M08","Rosslare","Number","13.8"
"Most Sunshine Hours in a Day","1967M09","Rosslare","Number","11.5"
"Most Sunshine Hours in a Day","1967M10","Rosslare","Number","9.4"
"Most Sunshine Hours in a Day","1967M11","Rosslare","Number","8"
"Most Sunshine Hours in a Day","1967M12","Rosslare","Number","7.3"
"Most Sunshine Hours in a Day","1968M01","Rosslare","Number","5.8"
"Most Sunshine Hours in a Day","1968M02","Rosslare","Number","9.3"
"Most Sunshine Hours in a Day","1968M03","Rosslare","Number","10.5"
"Most Sunshine Hours in a Day","1968M04","Rosslare","Number","12.1"
"Most Sunshine Hours in a Day","1968M05","Rosslare","Number","14"
"Most Sunshine Hours in a Day","1968M06","Rosslare","Number","15.8"
"Most Sunshine Hours in a Day","1968M07","Rosslare","Number","14.7"
"Most Sunshine Hours in a Day","1968M08","Rosslare","Number","13.4"
"Most Sunshine Hours in a Day","1968M09","Rosslare","Number","11.8"
"Most Sunshine Hours in a Day","1968M10","Rosslare","Number","8.5"
"Most Sunshine Hours in a Day","1968M11","Rosslare","Number","8.3"
"Most Sunshine Hours in a Day","1968M12","Rosslare","Number","7"
"Most Sunshine Hours in a Day","1969M01","Rosslare","Number","7.1"
