"Statistic","Month","Meteorological Weather Station","UNIT","VALUE"
"Total Rainfall","1958M01","Shannon airport","Millimetres","115.6"
"Total Rainfall","1958M02","Shannon airport","Millimetres","92.8"
"Total Rainfall","1958M03","Shannon airport","Millimetres","52"
"Total Rainfall","1958M04","Shannon airport","Millimetres","30.2"
"Total Rainfall","1958M05","Shannon airport","Millimetres","97.6"
"Total Rainfall","1958M06","Shannon airport","Millimetres","63.2"
"Total Rainfall","1958M07","Shannon airport","Millimetres","89.3"
"Total Rainfall","1958M08","Shannon airport","Millimetres","107.2"
"Total Rainfall","1958M09","Shannon airport","Millimetres","91.9"
"Total Rainfall","1958M10","Shannon airport","Millimetres","72.3"
"Total Rainfall","1958M11","Shannon airport","Millimetres","55.1"
"Total Rainfall","1958M12","Shannon airport","Millimetres","72.5"
"Total Rainfall","1959M01","Shannon airport","Millimetres","76"
"Total Rainfall","1959M02","Shannon airport","Millimetres","21.2"
"Total Rainfall","1959M03","Shannon airport","Millimetres","63.7"
"Total Rainfall","1959M04","Shannon airport","Millimetres","72.1"
"Total Rainfall","1959M05","Shannon airport","Millimetres","58"
"Total Rainfall","1959M06","Shannon airport","Millimetres","75.4"
"Total Rainfall","1959M07","Shannon airport","Millimetres","61.2"
"Total Rainfall","1959M08","Shannon airport","Millimetres","29.9"
"Total Rainfall","1959M09","Shannon airport","Millimetres","44.7"
"Total Rainfall","1959M10","Shannon airport","Millimetres","139.4"
"Total Rainfall","1959M11","Shannon airport","Millimetres","87.7"
"Total Rainfall","1959M12","Shannon airport","Millimetres","239.8"
"Total Rainfall","1960M01","Shannon airport","Millimetres","83.1"
"Total Rainfall","1960M02","Shannon airport","Millimetres","47.2"
"Total Rainfall","1960M03","Shannon airport","Millimetres","44.7"
"Total Rainfall","1960M04","Shannon airport","Millimetres","70.6"
"Total Rainfall","1960M05","Shannon airport","Millimetres","109.4"
"Total Rainfall","1960M06","Shannon airport","Millimetres","80.2"
"Total Rainfall","1960M07","Shannon airport","Millimetres","121"
"Total Rainfall","1960M08","Shannon airport","Millimetres","82.9"
"Total Rainfall","1960M09","Shannon airport","Millimetres","106.5"
"Total Rainfall","1960M10","Shannon airport","Millimetres","72.6"
"Total Rainfall","1960M11","Shannon airport","Millimetres","182"
"Total Rainfall","1960M12","Shannon airport","Millimetres","175.1"
"Total Rainfall","1961M01","Shannon airport","Millimetres","130.9"
"Total Rainfall","1961M02","Shannon airport","Millimetres","97.1"
"Total Rainfall","1961M03","Shannon airport","Millimetres","18"
"Total Rainfall","1961M04","Shannon airport","Millimetres","95.9"
"Total Rainfall","1961M05","Shannon airport","Millimetres","32.6"
"Total Rainfall","1961M06","Shannon airport","Millimetres","42.2"
"Total Rainfall","1961M07","Shannon airport","Millimetres","81.1"
"Total Rainfall","1961M08","Shannon airport","Millimetres","76.5"
