Station,Mon-YYYY(local),Stat Code,Stat Value ,Day of Extr
Paraparaumu Aero,Jan-95,0,64.9,-
Paraparaumu Aero,Jan-95,2,16.9,-
Paraparaumu Aero,Jan-95,9,259,-
Paraparaumu Aero,Feb-95,0,94.5,-
Paraparaumu Aero,Feb-95,2,18,-
Paraparaumu Aero,Feb-95,9,211.1,-
Paraparaumu Aero,Mar-95,0,94.7,-
Paraparaumu Aero,Mar-95,2,16.4,-
Paraparaumu Aero,Mar-95,9,187.4,-
Paraparaumu Aero,Apr-95,0,104,-
Paraparaumu Aero,Apr-95,2,14.9,-
Paraparaumu Aero,Apr-95,9,140.3,-
Paraparaumu Aero,May-95,0,88.5,-
Paraparaumu Aero,May-95,2,11.6,-
Paraparaumu Aero,May-95,9,138.7,-
Paraparaumu Aero,Jun-95,0,152.2,-
Paraparaumu Aero,Jun-95,2,9.2,-
Paraparaumu Aero,Jun-95,9,122.1,-
Paraparaumu Aero,Jul-95,0,117,-
Paraparaumu Aero,Jul-95,2,8.2,-
Paraparaumu Aero,Jul-95,9,136.5,-
Paraparaumu Aero,Aug-95,0,64.7,-
Paraparaumu Aero,Aug-95,2,9,-
Paraparaumu Aero,Aug-95,9,153.1,-
Paraparaumu Aero,Sep-95,0,85,-
Paraparaumu Aero,Sep-95,2,10.9,-
Paraparaumu Aero,Sep-95,9,122.9,-
Paraparaumu Aero,Oct-95,0,118.9,-
Paraparaumu Aero,Oct-95,2,12.2,-
Paraparaumu Aero,Oct-95,9,176.8,-
Paraparaumu Aero,Nov-95,0,100.2,-
Paraparaumu Aero,Nov-95,2,13.2,-
Paraparaumu Aero,Nov-95,9,209,-
Paraparaumu Aero,Dec-95,0,94.8,-
Paraparaumu Aero,Dec-95,2,17.4,-
Paraparaumu Aero,Dec-95,9,227.9,-
Paraparaumu Aero,Jan-96,0,18.1,-
Paraparaumu Aero,Jan-96,2,17.9,-
Paraparaumu Aero,Jan-96,9,215.2,-
Paraparaumu Aero,Feb-96,0,126.2,-
Paraparaumu Aero,Feb-96,2,17.3,-
Paraparaumu Aero,Feb-96,9,216.2,-
Paraparaumu Aero,Mar-96,0,67.8,-
Paraparaumu Aero,Mar-96,2,15.3,-
Paraparaumu Aero,Mar-96,9,171.9,-
Paraparaumu Aero,Apr-96,0,108.2,-
Paraparaumu Aero,Apr-96,2,15,-
Paraparaumu Aero,Apr-96,9,116,-
Paraparaumu Aero,May-96,0,126.1,-
Paraparaumu Aero,May-96,2,11.5,-
Paraparaumu Aero,May-96,9,166.4,-
Paraparaumu Aero,Jun-96,0,115.2,-
Paraparaumu Aero,Jun-96,2,8.7,-
Paraparaumu Aero,Jun-96,9,93.7,-
Paraparaumu Aero,Jul-96,0,82.1,-
Paraparaumu Aero,Jul-96,2,8.9,-
Paraparaumu Aero,Jul-96,9,102.5,-
Paraparaumu Aero,Aug-96,0,88.4,-
Paraparaumu Aero,Aug-96,2,8.7,-
Paraparaumu Aero,Aug-96,9,154.1,-
Paraparaumu Aero,Sep-96,0,122.9,-
Paraparaumu Aero,Sep-96,2,12.2,-
Paraparaumu Aero,Sep-96,9,132.5,-
Paraparaumu Aero,Oct-96,0,138.8,-
Paraparaumu Aero,Oct-96,2,13.1,-
Paraparaumu Aero,Oct-96,9,184.6,-
Paraparaumu Aero,Nov-96,0,112.8,-
Paraparaumu Aero,Nov-96,2,13,-
Paraparaumu Aero,Nov-96,9,186.7,-
Paraparaumu Aero,Dec-96,0,117.2,-
Paraparaumu Aero,Dec-96,2,14.8,-
Paraparaumu Aero,Dec-96,9,214.5,-
Paraparaumu Aero,Jan-97,0,31.6,-
Paraparaumu Aero,Jan-97,2,15.4,-
Paraparaumu Aero,Jan-97,9,281.3,-
Paraparaumu Aero,Feb-97,0,43.3,-
Paraparaumu Aero,Feb-97,2,17.3,-
Paraparaumu Aero,Feb-97,9,182.7,-
Paraparaumu Aero,Mar-97,0,92.8,-
Paraparaumu Aero,Mar-97,2,15.4,-
Paraparaumu Aero,Mar-97,9,182.6,-
Paraparaumu Aero,Apr-97,0,78.1,-
Paraparaumu Aero,Apr-97,2,12.9,-
Paraparaumu Aero,Apr-97,9,170.5,-
Paraparaumu Aero,May-97,0,43.2,-
Paraparaumu Aero,May-97,2,12.7,-
Paraparaumu Aero,May-97,9,118.8,-
Paraparaumu Aero,Jun-97,0,61,-
Paraparaumu Aero,Jun-97,2,8.6,-
Paraparaumu Aero,Jun-97,9,119.2,-
Paraparaumu Aero,Jul-97,0,32.9,-
Paraparaumu Aero,Jul-97,2,7.8,-
Paraparaumu Aero,Jul-97,9,151.7,-
Paraparaumu Aero,Aug-97,0,102.8,-
Paraparaumu Aero,Aug-97,2,9.4,-
Paraparaumu Aero,Aug-97,9,148.1,-
Paraparaumu Aero,Sep-97,0,99.6,-
Paraparaumu Aero,Sep-97,2,9.6,-
Paraparaumu Aero,Sep-97,9,142.4,-
Paraparaumu Aero,Oct-97,0,124,-
Paraparaumu Aero,Oct-97,2,12.2,-
Paraparaumu Aero,Oct-97,9,160.8,-
Paraparaumu Aero,Nov-97,0,52.7,-
Paraparaumu Aero,Nov-97,2,13.8,-
Paraparaumu Aero,Nov-97,9,199.8,-
Paraparaumu Aero,Dec-97,0,93.9,-
Paraparaumu Aero,Dec-97,2,15.5,-
Paraparaumu Aero,Dec-97,9,210.3,-
Paraparaumu Aero,Jan-98,0,37.7,-
Paraparaumu Aero,Jan-98,2,17,-
Paraparaumu Aero,Jan-98,9,165.1,-
Paraparaumu Aero,Feb-98,0,46,-
Paraparaumu Aero,Feb-98,2,19.4,-
Paraparaumu Aero,Feb-98,9,158.4,-
Paraparaumu Aero,Mar-98,0,24.3,-
Paraparaumu Aero,Mar-98,2,17.8,-
