Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Reefton Ews,3925,F21182,-42.116,171.860,198,G,Niwa / West Coast Rural Fire Dis
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.


Statistics codes in this query are:
Code,Description,Units
00,Total Rainfall,Mm
02,Mean Air Temperature,Celsius
09,Total Sunshine,Hours
Note: Statistics calculations are based on Local Time.
DAY OF EXTR gives the Local-Time day for a Monthly Extreme.
Stats: Monthly
Station,Mon-YYYY(local),Stat Code,Stat Value ,Rel,Day of Extr,Orig,
Reefton Ews,Jan-1995,00,150.8,-,-,D,
Reefton Ews,Feb-1995,00,171.2,-,-,D,
Reefton Ews,Feb-1995,02,17.6,*,-,D,
Reefton Ews,Mar-1995,00,199.2,-,-,D,
Reefton Ews,Apr-1995,00,203.9,*,-,D,
Reefton Ews,May-1995,00,240.6,*,-,D,
Reefton Ews,Jun-1995,00,192.4,*,-,D,
Reefton Ews,Jul-1995,00,299.0,-,-,D,
Reefton Ews,Jul-1995,02,3.9,*,-,D,
Reefton Ews,Aug-1995,00,192.9,-,-,D,
Reefton Ews,Aug-1995,02,6.5,*,-,D,
Reefton Ews,Sep-1995,00,324.6,-,-,D,
Reefton Ews,Oct-1995,00,208.0,-,-,D,
Reefton Ews,Oct-1995,02,11.1,*,-,D,
Reefton Ews,Nov-1995,00,154.8,-,-,D,
Reefton Ews,Nov-1995,02,13.0,*,-,D,
Reefton Ews,Dec-1995,00,313.1,-,-,D,
Reefton Ews,Dec-1995,02,16.2,*,-,D,
Reefton Ews,Jan-1996,00,118.7,-,-,D,
Reefton Ews,Jan-1996,02,18.5,*,-,D,
Reefton Ews,Feb-1996,00,187.9,-,-,D,
Reefton Ews,Feb-1996,02,17.0,*,-,D,
Reefton Ews,Mar-1996,00,179.7,-,-,D,
Reefton Ews,Mar-1996,02,13.8,*,-,D,
Reefton Ews,Apr-1996,00,174.4,-,-,D,
Reefton Ews,May-1996,00,164.0,*,-,D,
Reefton Ews,May-1996,02,8.0,*,-,D,
Reefton Ews,Jun-1996,00,150.4,-,-,D,
Reefton Ews,Jun-1996,02,4.6,*,-,D,
Reefton Ews,Jul-1996,00,78.4,-,-,D,
Reefton Ews,Jul-1996,02,4.9,*,-,D,
Reefton Ews,Aug-1996,00,253.9,*,-,D,
Reefton Ews,Aug-1996,02,5.5,*,-,D,
Reefton Ews,Sep-1996,00,204.4,*,-,D,
Reefton Ews,Sep-1996,02,10.3,*,-,D,
Reefton Ews,Oct-1996,00,279.5,-,-,D,
Reefton Ews,Oct-1996,02,11.4,*,-,D,
Reefton Ews,Nov-1996,00,262.8,-,-,D,
